publication_id,publication_title,publication_doi,new_name,new_is_mentioned,new_is_used,new_description,new_source,new_domain
pub.1005464936,Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review,10.1016/j.amepre.2015.04.035,Consumer Expenditure Survey,true,false,"A survey that collects information on the buying habits, income, and demographics of U.S. households.",,Economics/Household Spending
pub.1005464936,Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review,10.1016/j.amepre.2015.04.035,Continuing Survey of Food Intake for Individuals,true,false,A USDA survey that records detailed information on food consumption of individuals.,,Nutrition/Food Consumption
pub.1005464936,Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review,10.1016/j.amepre.2015.04.035,Early Childhood Longitudinal Survey,true,false,A series of longitudinal studies that follow children from birth through early adulthood.,,Education/Child Development
pub.1006520773,Food Insecurity Is Associated with Undernutrition but Not Overnutrition in Ecuadorian Women from Low‐Income Urban Neighborhoods,10.1155/2016/8149459,ENSANUT-ECU national health and nutrition survey,true,false,Ecuador’s 2012 national health and nutrition survey.,Cited as external reference; no analysis performed on its data in this paper.,Public Health / Nutrition
pub.1006520773,Food Insecurity Is Associated with Undernutrition but Not Overnutrition in Ecuadorian Women from Low‐Income Urban Neighborhoods,10.1155/2016/8149459,FAO Food Insecurity Experience Scale (FIES),true,false,FAO’s globally harmonized experience‑based food insecurity measurement instrument.,Mentioned as a potential tool for future research; not employed in the current analysis.,Food Security Measurement
pub.1006520773,Food Insecurity Is Associated with Undernutrition but Not Overnutrition in Ecuadorian Women from Low‐Income Urban Neighborhoods,10.1155/2016/8149459,ENDEMAIN national reproductive health survey (2004),true,false,2004 Ecuador national reproductive health survey that included a food insufficiency module.,Cited as prior work; not used for primary analysis.,Reproductive Health / Nutrition
pub.1006520773,Food Insecurity Is Associated with Undernutrition but Not Overnutrition in Ecuadorian Women from Low‐Income Urban Neighborhoods,10.1155/2016/8149459,"National Maternal‑Infant Health Chaparro Survey (Guatemala, 2008‑09)",true,false,Guatemalan survey of maternal‑infant health conducted in 2008‑09.,Referenced as comparative study; not analyzed here.,Maternal‑Child Health / Nutrition
pub.1006520773,Food Insecurity Is Associated with Undernutrition but Not Overnutrition in Ecuadorian Women from Low‐Income Urban Neighborhoods,10.1155/2016/8149459,Latin American and Caribbean Food Security Scale (Escala Latinoamericana y Caribeña de Seguridad Alimentaria),true,false,Region‑specific experience‑based food security scale.,Mentioned as an alternative tool; not utilized in the present study.,Food Security Measurement
pub.1006520773,Food Insecurity Is Associated with Undernutrition but Not Overnutrition in Ecuadorian Women from Low‐Income Urban Neighborhoods,10.1155/2016/8149459,"USDA Household Food Security Survey Module: Three‑Stage Design, with Screeners",true,false,Technical documentation describing the design of the USDA HFSSM.,Cited as background literature; not a dataset directly used.,Survey Methodology
pub.1008908516,Prevalence of Food Insecurity in Low-Income Neighborhoods in West Texas,10.1016/j.jneb.2016.07.003,USDA Economic Research Service (ERS) Food Security Data 2014,true,false,National food‑security statistics produced by the USDA ERS for the year 2014.,USDA Economic Research Service,Nutrition / Public Health
pub.1008908516,Prevalence of Food Insecurity in Low-Income Neighborhoods in West Texas,10.1016/j.jneb.2016.07.003,USDA Measure of Child Food Insecurity,true,false,A set of child‑specific items within the USDA HFSSM used to assess child food security.,USDA,Nutrition / Public Health
pub.1008908516,Prevalence of Food Insecurity in Low-Income Neighborhoods in West Texas,10.1016/j.jneb.2016.07.003,Supplemental Nutrition Assistance Program (SNAP) Participation Data,true,false,Self‑reported binary variable indicating whether a household participates in SNAP.,Collected via the study’s questionnaire,Social Services / Public Health
pub.1009374008,Urban agriculture: connecting producers with consumers,10.1108/bfj-06-2015-0200,2012 National Survey of Urban Farms,false,false,"A bespoke survey conducted in 2012 targeting urban farms across the United States, comprising 35 questions on farm characteristics, production, social missions, etc.",Authors’ own data collection via SurveyMonkey and paper copies; snowball sampling through email lists and organizations.,Urban agriculture / Social entrepreneurship
pub.1009374008,Urban agriculture: connecting producers with consumers,10.1108/bfj-06-2015-0200,American Community Survey (ACS),false,false,"Annual demographic survey conducted by the U.S. Census Bureau providing socioeconomic data at the census‑tract level, including median household income.",U.S. Census Bureau (American Community Survey 2012).,Demographics / Socioeconomic indicators
pub.1009374008,Urban agriculture: connecting producers with consumers,10.1108/bfj-06-2015-0200,US Department of Agriculture Economic Research Service (ERS) 2014 data,false,false,"Definition guidelines for what constitutes a farm according to USDA ERS, including point‑system thresholds.",USDA Economic Research Service publication (2014).,Agricultural policy / Farm classification
pub.1009374008,Urban agriculture: connecting producers with consumers,10.1108/bfj-06-2015-0200,"US Department of Agriculture Know Your Farmer, Know Your Food initiative",false,false,A USDA program aimed at promoting local food systems; not a dataset.,USDA program description.,Food policy / Agricultural outreach
pub.1010215109,"A Decade of Change: Measuring the Extent, Depth and Severity of Food Insecurity",10.1007/s10834-016-9500-9,Panel Study of Income Dynamics (PSID),true,false,"A longitudinal household panel survey tracking economic, health, and social behavior of families.",University of Michigan Institute for Social Research,Economics/Sociology
pub.1010215109,"A Decade of Change: Measuring the Extent, Depth and Severity of Food Insecurity",10.1007/s10834-016-9500-9,Survey of Income and Program Participation (SIPP),true,false,"A survey that collects data on income, program participation, and demographic characteristics of U.S. households.",U.S. Census Bureau,Economic/Social Survey
pub.1010215109,"A Decade of Change: Measuring the Extent, Depth and Severity of Food Insecurity",10.1007/s10834-016-9500-9,CSFII,true,false,"The Continuing Survey of Food Intake by Individuals, a component of the USDA's food consumption surveys.",U.S. Department of Agriculture,Nutrition/Health Survey
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,discovered_datasets,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,name,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,confidence_score_mention,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,text_quote,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,domain,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,Nutrition / Food Security,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,size,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,18 items (full) or 6 items (short form),false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,format,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,Survey questionnaire (paper or electronic),false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,access_info,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,": true,",false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,discovery_reasoning,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,"}
  ],",false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,: {,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,": 1,",false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,": 0,",false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,High confidence: 1,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,CFSM,false,false,,,
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,SNAP,false,false,,,
pub.1010851647,Evaluating the relationship between urban environment and food security in Georgia's older population,10.1016/j.apgeog.2014.10.013,Georgia Aging Information Management System (GA AIMS),true,true,Administrative dataset containing records of individuals receiving services or with active applications from Georgia's Division of Aging Services.,Georgia Division of Aging Services,Public health / Aging services
pub.1010851647,Evaluating the relationship between urban environment and food security in Georgia's older population,10.1016/j.apgeog.2014.10.013,U.S. Census Decennial Data,true,true,"Geospatial and demographic data collected every ten years by the U.S. Census Bureau, used here to define historic urban area boundaries.",U.S. Census Bureau,Geography / Urban studies
pub.1011904105,"Prevalence and covariates of food insecurity among residents of single-room occupancy housing in Chicago, IL, USA",10.1017/s1368980015002384,Household Food Insecurity Access Scale (HFIAS),false,false,A validated nine‑item questionnaire measuring household (or individual) food insecurity severity over a recall period.,"Food and Nutrition Technical Assistance Project (FANTA), USAID",Public health / nutrition security
pub.1014886463,Chapter 17 The Role of Peanuts in Global Food Security,10.1016/b978-1-63067-038-2.00017-4,FAOSTAT,true,true,"FAO’s statistical database that compiles global agricultural production, trade, and food‑security indicators.",Food and Agriculture Organization of the United Nations (FAO),Agriculture – Production & Trade Statistics
pub.1014886463,Chapter 17 The Role of Peanuts in Global Food Security,10.1016/b978-1-63067-038-2.00017-4,USDA Economic Research Service (ERS) data,true,true,"USDA ERS provides economic and statistical data on agriculture, food security, and rural economies.",United States Department of Agriculture – Economic Research Service,Economics – Food Security & Agricultural Economics
pub.1015636333,The Relationship Between Food Insecurity and BMI for Preschool Children,10.1007/s10995-015-1881-0,STRONG Kids Panel Study,true,true,A longitudinal panel study that followed 497 families with preschool‑aged children across three waves of data collection.,"University of Illinois, STRONG Kids research team","Obesity, Nutrition, Child Development"
pub.1015636333,The Relationship Between Food Insecurity and BMI for Preschool Children,10.1007/s10995-015-1881-0,CDC Age‑and Sex‑Specific Growth Charts (2000),true,true,Reference growth chart data used to compute BMI percentiles for children in the United States.,U.S. Centers for Disease Control and Prevention (CDC),Pediatrics / Growth Assessment
pub.1015925111,Is Food Insecurity Associated with Depressive Symptoms in South Korea?,10.1111/aswp.12111,Korea Welfare Panel Study (KOWEPS),true,true,"A nationally representative longitudinal panel survey of Korean households covering income, employment, health, and social program participation.",Korea Institute for Health and Social Affairs and Seoul National University,Social science / Public health
pub.1015925111,Is Food Insecurity Associated with Depressive Symptoms in South Korea?,10.1111/aswp.12111,Survey of Program Dynamics (SPD),true,false,A longitudinal survey that follows households over time to study program participation and dynamics.,U.S. Census Bureau,Social policy / Program evaluation
pub.1016207666,Association of Household Food Insecurity with the Mental and Physical Health of Low‐Income Urban Ecuadorian Women with Children,10.1155/2016/5256084,2012 Encuesta Nacional de Salud y Nutrición (Ecuadorian National Health and Nutrition Survey),true,false,Ecuador's national health and nutrition survey conducted in 2012.,Instituto Nacional de Estadísticas y Censos (INEC),Public health / Nutrition
pub.1016667374,Food insecurity and peripheral arterial disease in older adult populations,10.1007/s12603-015-0639-0,InCHIANTI Study,true,false,"A longitudinal cohort study of aging adults in Italy that collects health, nutrition, and functional data.",InCHIANTI cohort investigators,"Epidemiology, Aging, Nutrition"
pub.1018264446,Childhood Adversity and Adult Reports of Food Insecurity Among Households With Children,10.1016/j.amepre.2015.09.024,Adverse Childhood Experiences (ACE) questionnaire,true,true,A standardized ten‑item survey instrument used to capture exposure to adverse childhood experiences.,Developed by CDC‑Kaiser Permanente ACE Study Group,Public Health / Psychosocial Epidemiology
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,American FactFinder (U.S. Census Bureau),false,false,A public database providing census‑derived demographic and socioeconomic data at the block group level.,U.S. Census Bureau,Demographics / Socioeconomic statistics
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,TIGER/Line Shapefile (Census Block Group Boundaries),false,false,Geospatial polygon file defining the geographic boundaries of U.S. Census block groups.,U.S. Census Bureau (TIGER/Line),Geography / GIS
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,Virginia Department of Education – Student Eligibility for National School Lunch Program (Spreadsheet),false,false,"Dataset containing percentages of students qualifying for free or reduced‑price meals at each elementary, middle, and high school in Virginia.",Virginia Department of Education,Education / Food security proxy
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,Virginia Department of Conservation and Recreation – Parks Shapefile,true,true,Geospatial data representing locations and extents of public parks within Virginia.,Virginia Department of Conservation and Recreation,Environmental / Green space
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,City of Roanoke GIS FTP – School Zone Shapefile,false,false,Geospatial polygon file delineating the boundaries of individual school zones within Roanoke.,City of Roanoke GIS department,Education / GIS
pub.1020034785,"Associations Among Chronic Disease Status, Participation in Federal Nutrition Programs, Food Insecurity, and Sugar-Sweetened Beverage and Water Intake Among Residents of a Health-Disparate Region",10.1016/j.jneb.2015.01.001,Behavioral Risk Factor Surveillance System,true,true,"A large, state‑based telephone health survey conducted by the CDC.",Centers for Disease Control and Prevention,Public health surveillance
pub.1025090985,Household food insecurity in black-slaves descendant communities in Brazil: has the legacy of slavery truly ended?,10.1017/s1368980016003414,"2011 Quilombolas Census (Censo de Comunidades Quilombolas Tituladas, 2011)",true,true,"A nationwide census of officially recognized Quilombola communities in Brazil, containing household-level information and EBIA items for food security assessment.",Brazilian Ministry of Social Development and Fight Against Hunger (MDS) / IBGE,"Demography, public health, food security"
pub.1025090985,Household food insecurity in black-slaves descendant communities in Brazil: has the legacy of slavery truly ended?,10.1017/s1368980016003414,Pesquisa Nacional por Amostra de Domicílios (PNAD),true,false,"Brazil's National Household Sample Survey conducted by IBGE, providing representative data on socioeconomic and food‑security indicators.",Instituto Brasileiro de Geografia e Estatística (IBGE),"Demography, socioeconomic research"
pub.1025090985,Household food insecurity in black-slaves descendant communities in Brazil: has the legacy of slavery truly ended?,10.1017/s1368980016003414,Censo Demográfico de 2010,true,false,"Brazil's 2010 Population Census conducted by IBGE, providing demographic information at the national level.",Instituto Brasileiro de Geografia e Estatística (IBGE),Demography
pub.1025715717,Food Insecurity Increases the Odds of Obesity Among Young Hispanic Children,10.1007/s10903-015-0275-0,CDC BMI‑for‑age Growth Chart,true,true,Reference growth chart providing age‑ and sex‑specific percentiles for body mass index in children and adolescents.,Centers for Disease Control and Prevention (CDC),Pediatrics / Growth Assessment
pub.1025827545,Prevalence of food insecurity among military households with children 5 years of age and younger,10.1017/s1368980016000422,Joint Base San Antonio Child Development Centers (JBSA‑CDC) household survey dataset,true,true,"A purpose‑collected cross‑sectional dataset of 248 military families with young children, containing demographic variables and food‑security responses.",Joint Base San Antonio Child Development Centers (JBSA‑CDC),Military family health / Public health
pub.1027570121,Increased Food Insecurity Among Mothers of 2 Year Olds with Special Health Care Needs,10.1007/s10995-015-1735-9,PRAMS-2 (Oregon PRAMS follow‑up survey),true,true,"A state‑specific follow‑up survey administered to the same women 2 years after their infant’s birth, collecting information on child health, food security, and CSHCN status.","Oregon Health Authority, CDC PRAMS program",Public health / Maternal and child health
pub.1027570121,Increased Food Insecurity Among Mothers of 2 Year Olds with Special Health Care Needs,10.1007/s10995-015-1735-9,National CSHCN Screener,true,false,A validated five‑item parent‑report instrument used nationally to identify children with special health care needs.,"Maternal and Child Health Bureau, U.S. Department of Health and Human Services",Child health / Public health
pub.1027570121,Increased Food Insecurity Among Mothers of 2 Year Olds with Special Health Care Needs,10.1007/s10995-015-1735-9,Oregon CSHCN Data (2005‑2006),true,false,State‑level dataset describing prevalence and characteristics of children with special health care needs in Oregon for 2005‑2006.,Oregon Health Authority / State health department,Public health / Child health
pub.1027657425,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study,10.1002/soej.12081,Three City Study (TCS),true,true,"A longitudinal survey of low‑income families with children in Boston, Chicago, and San Antonio.",University of Kentucky Center for Poverty Research,"Sociology, Public health, Poverty research"
pub.1027657425,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study,10.1002/soej.12081,Survey of Income and Program Participation (SIPP),true,false,"A longitudinal survey that collects data on income, program participation, and demographic characteristics.",U.S. Census Bureau,Economic and social research
pub.1027657425,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study,10.1002/soej.12081,Fragile Families and Child Well-Being Study (FFS),true,false,A longitudinal study of families with children born in large U.S. cities.,Various academic institutions,"Sociology, Child development"
pub.1027657425,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study,10.1002/soej.12081,Womens Employment Study (WES),true,false,A longitudinal survey focusing on women's labor market experiences.,U.S. Department of Labor,"Labor economics, Gender studies"
pub.1027657425,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study,10.1002/soej.12081,Early Child Longitudinal Surveys (ECLS),true,false,A set of longitudinal studies tracking child development and early learning in the United States.,U.S. Department of Education,"Education, Child development"
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,discovered_datasets,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,name,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,confidence_score_mention,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,text_quote,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,domain,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Public health / Food security,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,size,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Tabular/geospatial dataset,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,access_info,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,is_known_dataset,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,matched_known_dataset,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,discovery_reasoning,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,"},
    {",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,": 9.0,",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,": 8.5,",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,US Census Bureau,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Demographics / Public health,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,"All Texas census tracts (~5,258)",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,format,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Tabular data via American Fact Finder,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,": false,",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,": null,",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Agriculture / Food access,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,200 markets in Texas,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Geospatial list with attribute fields,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Agriculture / Land use,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,State‑wide raster covering all Texas counties,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Raster GIS layer,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Demographics / Migration,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,National migration counts by state,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Tabular summary,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,Publicly available via Census Bureau reports,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,"}
  ],",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,: {,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,": 6,",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,": 1,",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,": 5,",false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,ERS,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,API,false,false,,,
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,AMS,false,false,,,
pub.1032387656,Food insecurity in veteran households: findings from nationally representative data,10.1017/s1368980015003067,American Community Survey (ACS),true,false,"Annual nationwide survey providing detailed demographic, social, economic, and housing data.",U.S. Census Bureau,Demography / Social science
pub.1032387656,Food insecurity in veteran households: findings from nationally representative data,10.1017/s1368980015003067,Survey of Income and Program Participation (SIPP),true,false,"Longitudinal survey that collects data on income, program participation, and other economic variables.",U.S. Census Bureau,Economics / Social policy
pub.1032387656,Food insecurity in veteran households: findings from nationally representative data,10.1017/s1368980015003067,Veterans Aging Cohort Study (VACS),true,false,A longitudinal cohort study of U.S. veterans receiving care through the Veterans Health Administration.,Veterans Health Administration,Public health / Veteran health
pub.1032417256,"Agroecosystem health, agroecosystem resilience, and food security",10.1007/s13412-015-0322-0,U.S. Census,true,true,National demographic and socioeconomic data collected by the U.S. Census Bureau.,U.S. Census Bureau,Social/Economic
pub.1032417256,"Agroecosystem health, agroecosystem resilience, and food security",10.1007/s13412-015-0322-0,U.S. Geological Survey,true,true,Federal agency providing geospatial and environmental data such as elevation models and land cover.,U.S. Geological Survey (USGS),Geography/Environmental Science
