publication_id,publication_title,publication_doi,validated_dataset_id,validated_dataset_name,is_mentioned,is_used,validation_reasoning
pub.1006520773,Food Insecurity Is Associated with Undernutrition but Not Overnutrition in Ecuadorian Women from Low‐Income Urban Neighborhoods,10.1155/2016/8149459,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that the HFSSM instrument was employed to assess household food‑security status and the resulting scores were used in multivariate analyses of dietary, biochemical and anthropometric outcomes. This constitutes genuine usage of the dataset (the collected HFSSM responses)."
pub.1008908516,Prevalence of Food Insecurity in Low-Income Neighborhoods in West Texas,10.1016/j.jneb.2016.07.003,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly names the Household Food Security Survey Module and states that the translated version was used to collect data, indicating direct application of the dataset in the study."
pub.1009256041,A Case Study: Spatial and Economic Sovereignty: Reclaiming Space and Building Community in Philadelphia One Vacant Lot at a Time,10.1007/978-94-017-7456-7_17,6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,true,false,"The paper explicitly refers to the USDA Farm Census (the Census of Agriculture conducted by NASS) but only discusses its definition and limitations as background information. There is no evidence of the authors extracting, analyzing, or reporting results derived from the Census data, so the dataset is mentioned but not used in the research."
pub.1009374008,Urban agriculture: connecting producers with consumers,10.1108/bfj-06-2015-0200,6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,true,false,"The phrase ""census of agriculture"" (an alias of the NASS Census of Agriculture) appears only as part of a literature reference. The paper’s methodology relies on a primary survey of urban farms and contains no analysis, modeling, or results derived from the NASS Census data, so the dataset is not genuinely used."
pub.1010215109,"A Decade of Change: Measuring the Extent, Depth and Severity of Food Insecurity",10.1007/s10834-016-9500-9,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,true,"The paper explicitly states that the analysis is based on data from the CPS Food Security Supplement, describes weighting, Rasch scoring, and uses these data to compute food‑insecurity indices, indicating genuine utilization."
pub.1010515778,Disordered eating behaviours and food insecurity: A qualitative study about children with obesity in low-income households,10.1016/j.orcp.2015.11.007,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,false,"The exact name of the dataset appears in the reference list, indicating the authors are aware of the HFSSM. However, the study’s methods and results focus on qualitative focus‑group transcripts and do not report any analysis, results, or findings derived from the HFSSM data itself. The questionnaire is mentioned only as background literature, not as a data source that was analyzed."
pub.1010851647,Evaluating the relationship between urban environment and food security in Georgia's older population,10.1016/j.apgeog.2014.10.013,8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),true,true,"The authors explicitly state that they downloaded the Food Access Research Atlas and used it to create a binary “low‑income, low‑access (LILA)” variable for each client, which is then included in the logistic regression analysis."
pub.1010851647,Evaluating the relationship between urban environment and food security in Georgia's older population,10.1016/j.apgeog.2014.10.013,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,The HFSSM (six‑item version) is described as the instrument used to assess food‑security status of each client in the Georgia AIMS dataset. The resulting variable is central to the outcome of the logistic regression model.
pub.1011904105,"Prevalence and covariates of food insecurity among residents of single-room occupancy housing in Chicago, IL, USA",10.1017/s1368980015002384,8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),true,false,"The exact name of the dataset appears only in the reference list as a citation. The methods, results, and analysis sections describe a primary data collection effort (survey using HFIAS) with no indication that the authors imported, processed, or analyzed any data from the Food Access Research Atlas."
pub.1011904105,"Prevalence and covariates of food insecurity among residents of single-room occupancy housing in Chicago, IL, USA",10.1017/s1368980015002384,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,false,"The paper cites the Household Food Security Survey Module only to contrast national food‑insecurity rates with its own findings. There is no description of the HFSSM being collected, analyzed, or used in the methods, results, or any statistical modeling. Hence it is mentioned but not genuinely utilized."
pub.1012443447,Household food insecurity and medication “scrimping” among US adults with diabetes,10.1016/j.ypmed.2015.11.031,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),false,false,No explicit mention of the CPS‑FSS or its aliases is found; the study uses NHIS data for food‑security measures.
pub.1014886463,Chapter 17 The Role of Peanuts in Global Food Security,10.1016/b978-1-63067-038-2.00017-4,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,true,"The paper explicitly cites the CPS‑FSS by name and states that figures on US food‑security prevalence were calculated from its data, indicating the dataset was actively employed in the analysis and results."
pub.1015636333,The Relationship Between Food Insecurity and BMI for Preschool Children,10.1007/s10995-015-1881-0,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that the HFSSM was used to assess food insecurity status for both household and child, and the results are based on these measures, satisfying the criteria for genuine usage."
pub.1015872278,Food insecurity and diabetes self-management among food pantry clients,10.1017/s1368980016001786,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that the Household Food Security Survey Module (HFSSM) was employed to measure participants' food‑security status, which is a core variable used in the analyses of diabetes self‑management outcomes. This constitutes direct usage of the instrument/dataset in the methods and subsequent results."
pub.1015925111,Is Food Insecurity Associated with Depressive Symptoms in South Korea?,10.1111/aswp.12111,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,false,"The HFSSM is referenced as the instrument adapted for the Korean Welfare Panel Study, but the actual HFSSM dataset is not used; the study collects its own data via KOWEPS."
pub.1016207666,Association of Household Food Insecurity with the Mental and Physical Health of Low‐Income Urban Ecuadorian Women with Children,10.1155/2016/5256084,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that the HFSSM (US version) was administered to all participants to measure household food insecurity, and the resulting scores were used in multivariate analyses of health outcomes. This demonstrates genuine usage of the dataset."
pub.1016667374,Food insecurity and peripheral arterial disease in older adult populations,10.1007/s12603-015-0639-0,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The authors explicitly state that they used the Household Food Security Survey Module to assess food security, indicating active utilization of this instrument in their analysis."
pub.1018264446,Childhood Adversity and Adult Reports of Food Insecurity Among Households With Children,10.1016/j.amepre.2015.09.024,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly names the Household Food Security Survey Module and states that it was used to assess household and child food‑security status, which forms the primary outcome variable for the analyses reported in the results."
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),true,false,"The exact name of the dataset appears in the manuscript, but there is no description of it being employed for data collection, analysis, or result generation. The study relies on American FactFinder census data, USDA school lunch program data, and field observations rather than the FARA dataset."
pub.1020034785,"Associations Among Chronic Disease Status, Participation in Federal Nutrition Programs, Food Insecurity, and Sugar-Sweetened Beverage and Water Intake Among Residents of a Health-Disparate Region",10.1016/j.jneb.2015.01.001,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,true,"The authors explicitly state that they used questions from the CPS‑FSS to collect data on food‑security and program participation, indicating direct utilization of this dataset."
pub.1020034785,"Associations Among Chronic Disease Status, Participation in Federal Nutrition Programs, Food Insecurity, and Sugar-Sweetened Beverage and Water Intake Among Residents of a Health-Disparate Region",10.1016/j.jneb.2015.01.001,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The study employed the HFSSM instrument to measure household food‑security status, showing that the dataset (the survey module) was actively used in data collection and analysis."
pub.1022857154,Food security as resilience: reconciling definition and measurement,10.1111/agec.12305,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),false,false,"The full text contains numerous discussions of food‑security concepts and various survey instruments (e.g., HDDS, CSI, HFIAS) but does not contain the exact phrase ""Household Food Security Survey Module"" or its alias ""HFSSM"". Without an explicit name, the dataset cannot be considered mentioned or used."
pub.1023050170,Exploring Long-term Food Pantry Use: Differences Between Persistent and Prolonged Typologies of Use,10.1080/19320248.2016.1157554,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),false,false,"The paper refers to a ""6-item short form of the USDA U.S. Household Food Security Module"" but does not contain the exact dataset name or any of its listed aliases (e.g., ""Household Food Security Survey Module""). According to the strict criteria, a mention requires the exact name or an alias, which is absent, and consequently there is no direct evidence of usage."
pub.1025090985,Household food insecurity in black-slaves descendant communities in Brazil: has the legacy of slavery truly ended?,10.1017/s1368980016003414,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,false,"The paper explicitly names the Household Food Security Survey Module as the original US instrument that the Brazilian EBIA scale is based on. However, the study’s methodology states that the EBIA scale itself was applied to the Quilombolas Census data; there is no indication that the HFSSM dataset was accessed, analyzed, or used to generate results."
pub.1025715717,Food Insecurity Increases the Odds of Obesity Among Young Hispanic Children,10.1007/s10903-015-0275-0,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that the Household Food Security Survey Module was administered to participants to determine food‑security status, and the resulting variable is used in the logistic regression analyses linking food insecurity to child obesity."
pub.1025827545,Prevalence of food insecurity among military households with children 5 years of age and younger,10.1017/s1368980016000422,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly names the USDA Food Security Survey Module (the HFSSM) and describes using its six‑item short form to collect data from surveyed households, then analyzes those responses. This constitutes genuine usage of the instrument/dataset."
pub.1027570121,Increased Food Insecurity Among Mothers of 2 Year Olds with Special Health Care Needs,10.1007/s10995-015-1735-9,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,false,"The paper cites the HFSSM as background information on how food security is measured nationally, but the study’s own data source is PRAMS/PRAMS‑2, not the HFSSM. No analysis or results are derived from the HFSSM."
pub.1027657425,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study,10.1002/soej.12081,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,true,"The authors explicitly state that they analyzed items from the CPS‑FSS to calibrate Rasch parameters and to compare thresholds, which demonstrates direct use of the CPS‑FSS data in their methodology and results."
pub.1027657425,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study,10.1002/soej.12081,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper uses the HFSSM items embedded in the TCS questionnaire to construct food‑hardship measures and to compare them with the standard HFSSM‑based CPS‑FSS, indicating active utilization of the module’s data."
pub.1028305293,Theoretical issues in the ‘food desert’ debate and ways forward,10.1007/s10708-015-9634-6,8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),true,false,"The exact name of the dataset appears in the reference list, indicating the authors are aware of it. However, the manuscript provides no description of using the atlas for data extraction, analysis, modeling, or results. The paper is largely theoretical and discusses concepts, without any methodological section that cites the atlas as a data source."
pub.1029057674,Home environment and psychosocial predictors of obesity status among community-residing men and women,10.1038/ijo.2015.70,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),false,false,"The paper never includes the exact phrase ""Household Food Security Survey Module"", its abbreviation ""HFSSM"", or any of the listed aliases. Only generic references to food insecurity are present, without naming the specific USDA HFSSM instrument."
pub.1029069128,"Investigation of the Food Choice, Promoters and Barriers to Food Access Issues, and Food Insecurity Among Low-Income, Free-Living Minnesotan Seniors",10.1016/j.jneb.2016.02.010,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The exact name “Household Food Security Survey Module” appears in the methods section and the authors explicitly state they calculated food‑security scores with it, indicating direct analysis of the dataset."
pub.1029069128,"Investigation of the Food Choice, Promoters and Barriers to Food Access Issues, and Food Insecurity Among Low-Income, Free-Living Minnesotan Seniors",10.1016/j.jneb.2016.02.010,3a646c8a-eab3-4951-80ac-831ba3a7b1a9,Rural-Urban Continuum Codes (RUCC),true,true,"The abbreviation “RUCC” is explicitly mentioned and the authors used the classification to select and compare the two counties, making the dataset part of the study’s methodology."
pub.1029873148,Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?,10.4236/jss.2015.35012,8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),true,false,"The exact name of the dataset appears in the paper’s reference list, but the methods and results sections describe data acquisition from the USDA Economic Research Service Food Environment Atlas, not the Food Access Research Atlas. No analysis, modeling, or results are tied to the Food Access Research Atlas, indicating it is only mentioned."
pub.1032387656,Food insecurity in veteran households: findings from nationally representative data,10.1017/s1368980015003067,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,true,"The study’s core objective, data extraction, weighting, and all statistical models are explicitly based on the CPS‑FSS, meeting all usage criteria."
pub.1032417256,"Agroecosystem health, agroecosystem resilience, and food security",10.1007/s13412-015-0322-0,6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,true,true,"The paper explicitly names the ""Agricultural Census"" (an alias of the NASS Census of Agriculture) and states that the agroecosystem health index was calculated using this publicly available dataset, indicating it was incorporated into the methodology and results."
pub.1032770714,Stretching Food and Being Creative: Caregiver Responses to Child Food Insecurity,10.1016/j.jneb.2016.11.010,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly names the Household Food Security Survey Module and describes that it is the instrument used to measure child food insecurity, which drives participant selection and the subsequent qualitative follow‑up questions. This constitutes genuine usage of the dataset."
pub.1033456297,Unpacking an Anomaly: Analyzing the 2005–2012 Current Population Survey to Understand Why Many Emergency Food Assistance Users Report Being Food Secure,10.1080/19320248.2016.1157548,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,true,"The authors explicitly state that CPS‑FSS is the dataset employed for all descriptive and inferential analyses, satisfying the usage criteria."
pub.1034798033,Food Insecurity and Food Resource Utilization in an Urban Immigrant Community,10.1007/s10903-015-0331-9,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly names the HFSSM and states it was used to assess food insecurity in the authors' own survey, indicating direct application of the instrument and subsequent analysis of the collected responses."
pub.1036277410,The relationship between childhood adversity and food insecurity: ‘It’s like a bird nesting in your head’,10.1017/s1368980014003036,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that food‑security data were collected with the US Household Food Security Survey Module, and later analyses (e.g., McNemar, Fisher’s exact tests, Spearman correlations) are performed on the resulting HFSSM scores, satisfying the criteria for genuine dataset usage."
pub.1036539526,Internal validity of the Food Access Survey Tool in assessing household food insecurity in rural Zambia,10.1007/s12571-016-0573-y,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,false,"The paper cites the HFSSM only in the literature/background discussion to illustrate existing food‑security measures. The study’s methodology, data collection, analysis, and results focus exclusively on the Food Access Survey Tool (FAST) and do not employ the HFSSM data."
pub.1037395553,Hispanic Adults Attending English as a Second Language (ESL) Classes at an Adult School Are Food Insecure,10.1080/19320248.2015.1004219,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),false,false,No validation found in LLM response
pub.1038132438,Food Insecurity Among American Indians and Alaska Natives: A National Profile Using the Current Population Survey–Food Security Supplement,10.1080/19320248.2016.1227750,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,true,"The paper explicitly states that the CPS‑FSS was the data source for the analysis and describes the methods (logistic regression, weighting, etc.) that were applied to this dataset, indicating genuine utilization."
pub.1038202052,Food insecurity and food deserts,10.1097/01.npr.0000453644.36533.3a,8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),true,false,"The paper explicitly names the Food Access Research Atlas and describes it as a resource that could be used by nurse practitioners, but it does not report any analysis, modeling, or results derived from the atlas itself. The article is a literature review, not an original empirical study employing the dataset."
pub.1038255161,Toward resilient food systems through increased agricultural diversity and local sourcing in the Carolinas,10.1007/s13412-015-0321-1,6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,true,true,"The paper explicitly names the ""Agricultural Census"" (an alias of the NASS Census of Agriculture) and uses the count of farms derived from it to argue about the pool of potential suppliers, demonstrating direct utilization of the dataset for analysis."
pub.1038866053,Comprehensive and Medically Appropriate Food Support Is Associated with Improved HIV and Diabetes Health,10.1007/s11524-016-0129-7,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that the USDA Household Food Security Survey Module (HFSSM) was employed to measure food‑security outcomes for each participant. This occurs in the Methods section, indicating the dataset was used for data collection and subsequent analysis of food‑security status."
pub.1038928150,The impact of Russian food security policy on the performance of the food system,10.1080/15387216.2016.1222299,6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,false,false,"The paper discusses Russian food security policy and agricultural statistics from Russian sources (Rosstat, Ministry of Agriculture, etc.) but does not contain any explicit mention of the NASS Census of Agriculture or its aliases. Flag terms like USDA appear only in a citation, not as a dataset reference."
pub.1039813511,Food Insecurity and the Burden of Health-Related Social Problems in an Urban Youth Population,10.1016/j.jadohealth.2015.08.013,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that participants completed the 18‑item Household Food Security Survey Module and uses its scores as the gold‑standard outcome for validation of a two‑item screen, indicating direct analysis of this dataset."
pub.1039844976,Household Food Insecurity Is a Stronger Marker of Adequacy of Nutrient Intakes among Canadian Compared to American Youth and Adults 1–,10.3945/jn.114.208579,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The HFSSM questionnaire was the instrument used to derive household food‑security status from both CCHS and NHANES, and the resulting variable is central to the analyses, satisfying the usage criteria."
pub.1039947645,Using participatory and mixed-methods approaches in GIS to develop a Place-Based Food Insecurity and Vulnerability Index,10.1177/0308518x16686352,8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),false,false,"The paper does not contain the exact name ""Food Access Research Atlas"" or any of its aliases. Only generic references to USDA food desert maps and the Reinvestment Fund low‑access maps appear, which are flag terms but not the specific dataset name."
pub.1041573261,Test-Retest Reliability of the National Health and Nutrition Examination Survey's 5-Item Food Insecurity Questionnaire Completed by Fourth-Grade Children,10.1016/j.jneb.2015.06.006,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,false,The CPS‑FSS is referenced as a source of external statistics; the study does not use the supplement’s data for its own analyses.
pub.1041904252,Supplemental Nutrition Assistance Program and food insecurity among families with children,10.1016/j.jpolmod.2016.05.003,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,true,"The paper explicitly states that the empirical analysis uses data from the CPS‑FSS, describing its collection period and linking it to the variables used in the econometric models. This demonstrates genuine utilization of the dataset in the methods and results sections."
pub.1042031042,Food- and Health-Related Correlates of Self-Reported Body Mass Index Among Low-Income Mothers of Young Children,10.1016/j.jneb.2015.01.004,08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),true,false,"The CPS‑FSS is explicitly named, but the authors only adapted items from it to create their own questionnaire; no analysis of the original CPS‑FSS data was performed."
pub.1042031042,Food- and Health-Related Correlates of Self-Reported Body Mass Index Among Low-Income Mothers of Young Children,10.1016/j.jneb.2015.01.004,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),false,false,"The manuscript refers to the Food Security Core Module (FSCM) and the CPS‑FSS, but never mentions the HFSSM by name."
pub.1042227861,Subnational distribution of average farm size and smallholder contributions to global food production,10.1088/1748-9326/11/12/124010,6a1f754f-bb09-42ff-a485-9c00e9ebe27d,NASS Census of Agriculture,false,false,"The paper does not contain the exact name or any of the listed aliases for the NASS Census of Agriculture. Only generic references to USDA and conversion ratios appear, which are flag terms but not a direct dataset citation. Therefore there is no evidence of mention or usage."
pub.1042561010,"Food insecurity is associated with HIV, sexually transmitted infections and drug use among men in the United States",10.1097/qad.0000000000001095,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The authors explicitly state that the 18‑item Household Food Security Survey (the HFSSM) was used to assess food‑security status, which is a core exposure variable in their analysis."
pub.1043945285,"Food Acquisition Strategies, Food Security, and Health Status among Families with Children Using Food Pantries",10.1606/1044-3894.2015.96.16,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that the six‑item short form of the USDA Household Food Security Survey Module was employed to assess household food security, indicating direct use of the HFSSM instrument for data collection and analysis."
pub.1044665553,"“Do You Wanna Breathe or Eat?”: Parent Perspectives on Child Health Consequences of Food Insecurity, Trade-Offs, and Toxic Stress",10.1007/s10995-015-1797-8,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that participants’ food‑security status was determined using the USDA Household Food Security Survey Module, and this classification is central to eligibility, grouping, and analysis of the qualitative interviews."
pub.1044764715,Analyzing the Role of Community and Individual Factors in Food Insecurity: Identifying Diverse Barriers Across Clustered Community Members,10.1007/s10900-016-0171-0,9c8159cd-47f9-49f6-966e-1f996b977d63,Food Acquisition and Purchase Survey (FoodAPS),true,false,FoodAPS is cited to support a point about shopping behavior; the authors do not use FoodAPS data in their own analysis.
pub.1045170284,Fruit and Vegetable Perceptions Among Caregivers of American Indian Toddlers and Community Stakeholders: a Qualitative Study,10.1007/s40615-014-0079-2,8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),false,false,"The paper does not contain the exact name 'Food Access Research Atlas' nor any of its aliases. Only generic USDA-related terms appear, which are insufficient to count as a mention of the dataset."
pub.1045618665,The Role of the Supplemental Nutrition Assistance Program in the Relationship Between Food Insecurity and Probability of Maternal Depression,10.1080/19320248.2015.1045672,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,false,"The paper cites the HFSSM as the source of survey items used to construct the food‑security variable, but it does not analyze the HFSSM data itself; the analysis is performed on the Fragile Families and Child Wellbeing Study data."
pub.1047158720,Auxiliary measures to assess factors related to food insecurity: Preliminary testing and baseline characteristics of newly designed hunger-coping scales,10.1016/j.pmedr.2016.06.021,361359a1-bef3-4379-b1ad-b93032f8fc11,Household Food Security Survey Module (HFSSM),true,true,"The paper explicitly states that the USDA HFSSM (the Household Food Security Survey Module) was administered to participants to determine food‑security status and that the resulting scores were used in correlation, ANOVA, and validity analyses. This demonstrates direct analysis of the dataset."
pub.1047979751,"Geospatial Evaluation for Urban Agriculture Land Inventory: Roanoke, Virginia USA",10.4018/ijagr.2017010103,8b4643af-1ecf-4745-93ba-7de3b62f0537,Food Access Research Atlas (FARA),true,false,"The exact phrase appears in the reference list, but there is no indication that the authors downloaded, processed, or analyzed this dataset in their methods, results, or discussion. It is only listed as a source, not used for analysis."
