dataset_id,dataset_name,alias,group_name
08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),Current Population Survey Food Security Supplement (CPS-FSS),Agricultural and Food Security Data
08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),Current Population Survey Food Security Supplement,Agricultural and Food Security Data
08eb979a-3db4-43ba-b12a-518254e2cba9,Current Population Survey Food Security Supplement (CPS-FSS),Cps-fss,Agricultural and Food Security Data
73881bd0-9cc5-4fce-af16-93844d9e3d52,Farm to School Census,Farm to School Census,Agricultural and Food Security Data
7ba0229d-e906-4a6f-b0ac-a63290f5ee4a,"Information Resources, Inc. (IRI) InfoScan","Information Resources, Inc. (IRI) InfoScan",Agricultural and Food Security Data
7ba0229d-e906-4a6f-b0ac-a63290f5ee4a,"Information Resources, Inc. (IRI) InfoScan",Iri Infoscan,Agricultural and Food Security Data
7ba0229d-e906-4a6f-b0ac-a63290f5ee4a,"Information Resources, Inc. (IRI) InfoScan",Circana,Agricultural and Food Security Data
7ba0229d-e906-4a6f-b0ac-a63290f5ee4a,"Information Resources, Inc. (IRI) InfoScan",Circana IRI InfoScan,Agricultural and Food Security Data
7ba0229d-e906-4a6f-b0ac-a63290f5ee4a,"Information Resources, Inc. (IRI) InfoScan",Circana (formerly IRI) Infoscan,Agricultural and Food Security Data
0067f96d-1746-4f43-a880-1fdcf41d846b,Local Food Marketing Practices Survey,Local Food Marketing Practices Survey,Agricultural and Food Security Data
0067f96d-1746-4f43-a880-1fdcf41d846b,Local Food Marketing Practices Survey,local food marketing practices survey,Agricultural and Food Security Data
0067f96d-1746-4f43-a880-1fdcf41d846b,Local Food Marketing Practices Survey,LFMPS,Agricultural and Food Security Data
32bc1d58-3287-4484-b1e7-8683fcca8ebd,"Tenure, Ownership, and Transition of Agricultural Land (TOTAL) Survey","Tenure, Ownership, and Transition of Agricultural Land (TOTAL) Survey",Agricultural and Food Security Data
32bc1d58-3287-4484-b1e7-8683fcca8ebd,"Tenure, Ownership, and Transition of Agricultural Land (TOTAL) Survey","Tenure, ownership, and transition of agricultural land",Agricultural and Food Security Data
3a646c8a-eab3-4951-80ac-831ba3a7b1a9,Rural-Urban Continuum Codes (RUCC),Rural-Urban Continuum Codes (RUCC),Agricultural and Food Security Data
3a646c8a-eab3-4951-80ac-831ba3a7b1a9,Rural-Urban Continuum Codes (RUCC),RUCC,Agricultural and Food Security Data
3a646c8a-eab3-4951-80ac-831ba3a7b1a9,Rural-Urban Continuum Codes (RUCC),Rural-Urban Continuum Codes,Agricultural and Food Security Data
3a646c8a-eab3-4951-80ac-831ba3a7b1a9,Rural-Urban Continuum Codes (RUCC),www.ers.usda.gov/data-products/rural-urban-continuum-codes,Agricultural and Food Security Data
