publication_id,publication_title,publication_doi,validated_dataset_id,validated_dataset_name,confidence_score_mention,confidence_score_use,validation_reasoning
pub.1010851647,"Evaluating the relationship between urban environment and food security in Georgia's older population",10.1016/j.apgeog.2014.10.013,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1012443447,"Household food insecurity and medication “scrimping” among US adults with diabetes",10.1016/j.ypmed.2015.11.031,68ea7da0b68f81f17e35ef39,"National Health Interview Survey (NHIS)",10,10,""
pub.1014886463,"Chapter 17 The Role of Peanuts in Global Food Security",10.1016/b978-1-63067-038-2.00017-4,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",9,9,""
pub.1015636333,"The Relationship Between Food Insecurity and BMI for Preschool Children",10.1007/s10995-015-1881-0,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1015636333,"The Relationship Between Food Insecurity and BMI for Preschool Children",10.1007/s10995-015-1881-0,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,2,""
pub.1015872278,"Food insecurity and diabetes self-management among food pantry clients",10.1017/s1368980016001786,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1015872278,"Food insecurity and diabetes self-management among food pantry clients",10.1017/s1368980016001786,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,2,""
pub.1015925111,"Is Food Insecurity Associated with Depressive Symptoms in South Korea?",10.1111/aswp.12111,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,10,""
pub.1015925111,"Is Food Insecurity Associated with Depressive Symptoms in South Korea?",10.1111/aswp.12111,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,1,""
pub.1016207666,"Association of Household Food Insecurity with the Mental and Physical Health of Low‐Income Urban Ecuadorian Women with Children",10.1155/2016/5256084,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1016207666,"Association of Household Food Insecurity with the Mental and Physical Health of Low‐Income Urban Ecuadorian Women with Children",10.1155/2016/5256084,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,2,""
pub.1016667374,"Food insecurity and peripheral arterial disease in older adult populations",10.1007/s12603-015-0639-0,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1016667374,"Food insecurity and peripheral arterial disease in older adult populations",10.1007/s12603-015-0639-0,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",10,10,""
pub.1018264446,"Childhood Adversity and Adult Reports of Food Insecurity Among Households With Children",10.1016/j.amepre.2015.09.024,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1020034785,"Associations Among Chronic Disease Status, Participation in Federal Nutrition Programs, Food Insecurity, and Sugar-Sweetened Beverage and Water Intake Among Residents of a Health-Disparate Region",10.1016/j.jneb.2015.01.001,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1020034785,"Associations Among Chronic Disease Status, Participation in Federal Nutrition Programs, Food Insecurity, and Sugar-Sweetened Beverage and Water Intake Among Residents of a Health-Disparate Region",10.1016/j.jneb.2015.01.001,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1023050170,"Exploring Long-term Food Pantry Use: Differences Between Persistent and Prolonged Typologies of Use",10.1080/19320248.2016.1157554,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1025090985,"Household food insecurity in black-slaves descendant communities in Brazil: has the legacy of slavery truly ended?",10.1017/s1368980016003414,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,1,""
pub.1025715717,"Food Insecurity Increases the Odds of Obesity Among Young Hispanic Children",10.1007/s10903-015-0275-0,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1025715717,"Food Insecurity Increases the Odds of Obesity Among Young Hispanic Children",10.1007/s10903-015-0275-0,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",10,1,""
pub.1025827545,"Prevalence of food insecurity among military households with children 5 years of age and younger",10.1017/s1368980016000422,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,10,""
pub.1025827545,"Prevalence of food insecurity among military households with children 5 years of age and younger",10.1017/s1368980016000422,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,1,""
pub.1027570121,"Increased Food Insecurity Among Mothers of 2 Year Olds with Special Health Care Needs",10.1007/s10995-015-1735-9,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,1,""
pub.1027657425,"Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study",10.1002/soej.12081,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1027657425,"Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study",10.1002/soej.12081,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,2,""
pub.1028305293,"Theoretical issues in the ‘food desert’ debate and ways forward",10.1007/s10708-015-9634-6,68751d343a311b28982701cf,"Food Access Research Atlas (FARA)",8,1,""
pub.1029069128,"Investigation of the Food Choice, Promoters and Barriers to Food Access Issues, and Food Insecurity Among Low-Income, Free-Living Minnesotan Seniors",10.1016/j.jneb.2016.02.010,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,9,""
pub.1029069128,"Investigation of the Food Choice, Promoters and Barriers to Food Access Issues, and Food Insecurity Among Low-Income, Free-Living Minnesotan Seniors",10.1016/j.jneb.2016.02.010,68751d353a311b28982701d3,"Rural-Urban Continuum Codes (RUCC)",8,3,""
pub.1032387656,"Food insecurity in veteran households: findings from nationally representative data",10.1017/s1368980015003067,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1032417256,"Agroecosystem health, agroecosystem resilience, and food security",10.1007/s13412-015-0322-0,68751d343a311b28982701cb,"NASS Census of Agriculture",9,10,""
pub.1032770714,"Stretching Food and Being Creative: Caregiver Responses to Child Food Insecurity",10.1016/j.jneb.2016.11.010,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1033456297,"Unpacking an Anomaly: Analyzing the 2005–2012 Current Population Survey to Understand Why Many Emergency Food Assistance Users Report Being Food Secure",10.1080/19320248.2016.1157548,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1034798033,"Food Insecurity and Food Resource Utilization in an Urban Immigrant Community",10.1007/s10903-015-0331-9,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1036277410,"The relationship between childhood adversity and food insecurity: ‘It’s like a bird nesting in your head’",10.1017/s1368980014003036,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1036277410,"The relationship between childhood adversity and food insecurity: ‘It’s like a bird nesting in your head’",10.1017/s1368980014003036,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,2,""
pub.1037395553,"Hispanic Adults Attending English as a Second Language (ESL) Classes at an Adult School Are Food Insecure",10.1080/19320248.2015.1004219,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,0,""
pub.1038132438,"Food Insecurity Among American Indians and Alaska Natives: A National Profile Using the Current Population Survey–Food Security Supplement",10.1080/19320248.2016.1227750,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1038132438,"Food Insecurity Among American Indians and Alaska Natives: A National Profile Using the Current Population Survey–Food Security Supplement",10.1080/19320248.2016.1227750,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,1,""
pub.1038202052,"Food insecurity and food deserts",10.1097/01.npr.0000453644.36533.3a,68751d343a311b28982701cf,"Food Access Research Atlas (FARA)",8,0,""
pub.1038202052,"Food insecurity and food deserts",10.1097/01.npr.0000453644.36533.3a,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,0,""
pub.1038866053,"Comprehensive and Medically Appropriate Food Support Is Associated with Improved HIV and Diabetes Health",10.1007/s11524-016-0129-7,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1038866053,"Comprehensive and Medically Appropriate Food Support Is Associated with Improved HIV and Diabetes Health",10.1007/s11524-016-0129-7,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,2,""
pub.1039813511,"Food Insecurity and the Burden of Health-Related Social Problems in an Urban Youth Population",10.1016/j.jadohealth.2015.08.013,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1039844976,"Household Food Insecurity Is a Stronger Marker of Adequacy of Nutrient Intakes among Canadian Compared to American Youth and Adults 1–",10.3945/jn.114.208579,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1039844976,"Household Food Insecurity Is a Stronger Marker of Adequacy of Nutrient Intakes among Canadian Compared to American Youth and Adults 1–",10.3945/jn.114.208579,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",10,10,""
pub.1041573261,"Test-Retest Reliability of the National Health and Nutrition Examination Survey's 5-Item Food Insecurity Questionnaire Completed by Fourth-Grade Children",10.1016/j.jneb.2015.06.006,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",8,0,""
pub.1041573261,"Test-Retest Reliability of the National Health and Nutrition Examination Survey's 5-Item Food Insecurity Questionnaire Completed by Fourth-Grade Children",10.1016/j.jneb.2015.06.006,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",9,0,""
pub.1041904252,"Supplemental Nutrition Assistance Program and food insecurity among families with children",10.1016/j.jpolmod.2016.05.003,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",9,9,""
pub.1042031042,"Food- and Health-Related Correlates of Self-Reported Body Mass Index Among Low-Income Mothers of Young Children",10.1016/j.jneb.2015.01.004,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1042561010,"Food insecurity is associated with HIV, sexually transmitted infections and drug use among men in the United States",10.1097/qad.0000000000001095,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,9,""
pub.1042561010,"Food insecurity is associated with HIV, sexually transmitted infections and drug use among men in the United States",10.1097/qad.0000000000001095,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",10,10,""
pub.1043945285,"Food Acquisition Strategies, Food Security, and Health Status among Families with Children Using Food Pantries",10.1606/1044-3894.2015.96.16,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1044665553,"“Do You Wanna Breathe or Eat?”: Parent Perspectives on Child Health Consequences of Food Insecurity, Trade-Offs, and Toxic Stress",10.1007/s10995-015-1797-8,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1044764715,"Analyzing the Role of Community and Individual Factors in Food Insecurity: Identifying Diverse Barriers Across Clustered Community Members",10.1007/s10900-016-0171-0,68751d343a311b28982701cc,"Food Acquisition and Purchase Survey (FoodAPS)",8,1,""
pub.1045618665,"The Role of the Supplemental Nutrition Assistance Program in the Relationship Between Food Insecurity and Probability of Maternal Depression",10.1080/19320248.2015.1045672,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1047158720,"Auxiliary measures to assess factors related to food insecurity: Preliminary testing and baseline characteristics of newly designed hunger-coping scales",10.1016/j.pmedr.2016.06.021,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,9,""
pub.1047979751,"Geospatial Evaluation for Urban Agriculture Land Inventory: Roanoke, Virginia USA",10.4018/ijagr.2017010103,68751d343a311b28982701cf,"Food Access Research Atlas (FARA)",6,1,""
pub.1048389849,"Migrant and Seasonal Farmworker Food Insecurity: Prevalence, Impact, Risk Factors, and Coping Strategies",10.1080/19371918.2015.1019173,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,0,""
pub.1049012797,"Nativity, Not Acculturation, Predicts SNAP Usage Among Low-income Hispanics With Food Insecurity",10.1080/19320248.2014.962779,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,10,""
pub.1049032982,"The role of health behaviors and food insecurity in predicting fruit and vegetable intake in low-income children",10.1080/02739615.2015.1124772,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1050483147,"Interest in Nutrition and Local Food Systems among Food-Insecure Households in an Appalachian Community",10.1080/19320248.2016.1146191,68751d343a311b28982701cf,"Food Access Research Atlas (FARA)",8,0,""
pub.1050483147,"Interest in Nutrition and Local Food Systems among Food-Insecure Households in an Appalachian Community",10.1080/19320248.2016.1146191,68751d353a311b28982701d3,"Rural-Urban Continuum Codes (RUCC)",8,0,""
pub.1051620580,"Food Insecurity and Health Care Utilization Among Older Adults in the United States",10.1080/21551197.2016.1200334,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1051620580,"Food Insecurity and Health Care Utilization Among Older Adults in the United States",10.1080/21551197.2016.1200334,68ea7da0b68f81f17e35ef39,"National Health Interview Survey (NHIS)",10,10,""
pub.1053779151,"A Decade of Analysis: Household Food Insecurity Among Low-Income Immigrant Children",10.1177/0192513x16661216,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1059307554,"Food Insecurity Associated with Self-Efficacy and Acculturation",10.1089/pop.2015.0179,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1059307554,"Food Insecurity Associated with Self-Efficacy and Acculturation",10.1089/pop.2015.0179,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,0,""
pub.1059354082,"Food Security and Teenage Labor Supply",10.1093/aepp/ppv007,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1063573950,"Food Insecurity in U.S. Households That Include Children With Disabilities",10.1177/0014402916651847,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,1,""
pub.1063573950,"Food Insecurity in U.S. Households That Include Children With Disabilities",10.1177/0014402916651847,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",7,1,""
pub.1067171610,"Food Insecurity And Health Outcomes",10.1377/hlthaff.2015.0645,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",8,0,""
pub.1067171610,"Food Insecurity And Health Outcomes",10.1377/hlthaff.2015.0645,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,0,""
pub.1071754222,"Household Food Insecurity Is Associated with Childhood Asthma 1 , 2",10.3945/jn.115.215939,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1071754403,"Food Insecurity Is Associated with Subsequent Cognitive Decline in the Boston Puerto Rican Health Study 1–3",10.3945/jn.115.228700,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1071754443,"SNAP-Ed (Supplemental Nutrition Assistance Program–Education) Increases Long-Term Food Security among Indiana Households with Children in a Randomized Controlled Study1–4",10.3945/jn.116.231373,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1071754452,"A Model-Based Approach to Identify Classes and Respective Cutoffs of the Brazilian Household Food Insecurity Measurement Scale 1 , 2",10.3945/jn.116.231845,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,1,""
pub.1071754452,"A Model-Based Approach to Identify Classes and Respective Cutoffs of the Brazilian Household Food Insecurity Measurement Scale 1 , 2",10.3945/jn.116.231845,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,1,""
pub.1071754461,"Severity of Household Food Insecurity Is Positively Associated with Mental Disorders among Children and Adolescents in the United States 1–4",10.3945/jn.116.232298,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1071754461,"Severity of Household Food Insecurity Is Positively Associated with Mental Disorders among Children and Adolescents in the United States 1–4",10.3945/jn.116.232298,68ea7da0b68f81f17e35ef39,"National Health Interview Survey (NHIS)",10,10,""
pub.1073476597,"Who Is Food Insecure? Implications for Targeted Recruitment and Outreach, National Health and Nutrition Examination Survey, 2005–2010",10.5888/pcd13.160103,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1073476597,"Who Is Food Insecure? Implications for Targeted Recruitment and Outreach, National Health and Nutrition Examination Survey, 2005–2010",10.5888/pcd13.160103,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",10,10,""
pub.1073476619,"Food Insecurity and Cardiovascular Health in Pregnant Women: Results From the Food for Families Program, Chelsea, Massachusetts, 2013–2015",10.5888/pcd13.160212,68751d343a311b28982701cf,"Food Access Research Atlas (FARA)",10,10,""
pub.1073476619,"Food Insecurity and Cardiovascular Health in Pregnant Women: Results From the Food for Families Program, Chelsea, Massachusetts, 2013–2015",10.5888/pcd13.160212,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,0,""
pub.1074242117,"Who are the World’s Food Insecure? New Evidence from the Food and Agriculture Organization’s Food Insecurity Experience Scale",10.1016/j.worlddev.2017.01.006,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,1,""
pub.1079396227,"Food Insecurity and Chronic Diseases Among American Indians in Rural Oklahoma: The THRIVE Study",10.2105/ajph.2016.303605,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",8,0,""
pub.1079396227,"Food Insecurity and Chronic Diseases Among American Indians in Rural Oklahoma: The THRIVE Study",10.2105/ajph.2016.303605,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,0,""
pub.1083939820,"Food Insecurity, Weight Status, and Perceived Nutritional and Exercise Barriers in an Urban Youth Population",10.1177/0009922817693301,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,10,""
pub.1083939820,"Food Insecurity, Weight Status, and Perceived Nutritional and Exercise Barriers in an Urban Youth Population",10.1177/0009922817693301,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,1,""
pub.1084055508,"Food Insecurity Screening in Pediatric Primary Care: Can Offering Referrals Help Identify Families in Need?",10.1016/j.acap.2016.10.006,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,10,""
pub.1084215783,"Relationship between food insecurity, child weight status, and parent‐reported child eating and snacking behaviors",10.1111/jspn.12177,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1084215783,"Relationship between food insecurity, child weight status, and parent‐reported child eating and snacking behaviors",10.1111/jspn.12177,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",9,0,""
pub.1084243942,"Ethnic markets and community food security in an urban “food desert”",10.1177/0308518x17700394,68751d343a311b28982701cf,"Food Access Research Atlas (FARA)",8,2,""
pub.1084535112,"Changes in household food insecurity are related to changes in BMI and diet quality among Michigan Head Start preschoolers in a sex-specific manner",10.1016/j.socscimed.2017.04.003,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,10,""
pub.1084740529,"The rise of food banks and the challenge of matching food assistance with potential need: towards a spatially specific, rapid assessment approach",10.1007/s10460-017-9783-y,68751d343a311b28982701cf,"Food Access Research Atlas (FARA)",8,0,""
pub.1084754596,"A Municipal-level analysis of secular trends in severe food insecurity in Brazil between 2004 and 2013",10.1016/j.gfs.2017.03.004,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,1,""
pub.1084887347,"Diabetes-Specific Food Insecurity Is Associated with Impaired Heart Rate Variability Independent of Glycemic Control: Exploratory Findings among Latinos with Type 2 Diabetes 1 2",10.3945/cdn.117.000521,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1085848101,"Food Affordability, Food Security, and the Expanded Food and Nutrition Education Program",10.1080/19320248.2017.1315326,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,10,""
pub.1085848101,"Food Affordability, Food Security, and the Expanded Food and Nutrition Education Program",10.1080/19320248.2017.1315326,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,2,""
pub.1090321072,"Food security measurement and governance: Assessment of the usefulness of diverse food insecurity indicators for policy makers",10.1016/j.gfs.2017.06.003,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,0,""
pub.1090364662,"Land Use, Conservation, Forestry, and Agriculture in Puerto Rico",10.3390/f8070242,68751d343a311b28982701cb,"NASS Census of Agriculture",8,1,""
pub.1090367771,"A Qualitative Application of the Belsky Model to Explore Early Care and Education Teachers' Mealtime History, Beliefs, and Interactions",10.1016/j.jneb.2017.04.025,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1090618496,"Student Hunger on Campus: Food Insecurity Among College Students and Implications for Academic Institutions",10.1177/0890117117719620,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1090665356,"Food security in a remittance based economy",10.1007/s12571-017-0705-z,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",9,10,""
pub.1090745802,"Mother and Adolescent Eating in the Context of Food Insecurity: Findings from Urban Public Housing",10.1007/s10995-017-2306-z,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1090774397,"Climate Change and Food Security: Florida’s Agriculture in the Coming Decades",10.1108/s1574-871520170000017007,68751d343a311b28982701cb,"NASS Census of Agriculture",8,0,""
pub.1090834355,"Assessing food insecurity in Latin America and the Caribbean using FAO’s Food Insecurity Experience Scale",10.1016/j.foodpol.2017.07.005,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,1,""
pub.1090855981,"Family Structure and Child Food Insecurity: Evidence from the Current Population Survey",10.1007/s11205-017-1700-7,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1091436462,"Health status, food insecurity, and time allocation patterns of patients with AIDS receiving antiretroviral treatment in South Africa",10.1080/09540121.2017.1371665,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1091500544,"Dietary Intake Contributions of Food and Beverages by Source and Food Security Status in US Adults",10.1016/j.jneb.2017.01.009,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",10,10,""
pub.1091623866,"Using Household Fit Indices to Examine the Psychometric Quality of Food Insecurity Measures",10.1177/0013164417728317,68751d343a311b28982701d0,"Current Population Survey Food Security Supplement (CPS-FSS)",10,10,""
pub.1091623866,"Using Household Fit Indices to Examine the Psychometric Quality of Food Insecurity Measures",10.1177/0013164417728317,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,10,""
pub.1091756824,"Food insecurity and emotional health in the USA: a systematic narrative review of longitudinal research",10.1017/s1368980017002221,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",10,0,""
pub.1091756824,"Food insecurity and emotional health in the USA: a systematic narrative review of longitudinal research",10.1017/s1368980017002221,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",10,0,""
pub.1091851286,"Food insecurity and the use of soup kitchens among suburban elderly women in two counties in Pennsylvania",10.1108/h-08-2016-0057,68751d343a311b28982701cc,"Food Acquisition and Purchase Survey (FoodAPS)",8,0,""
pub.1091851286,"Food insecurity and the use of soup kitchens among suburban elderly women in two counties in Pennsylvania",10.1108/h-08-2016-0057,68ea7da0b68f81f17e35ef38,"National Health and Nutrition Examination Survey (NHANES)",8,0,""
pub.1092089461,"Invited review: Sustainable forage and grain crop production for the US dairy industry",10.3168/jds.2017-13080,68751d343a311b28982701cb,"NASS Census of Agriculture",10,10,""
pub.1092191689,"Household Food Security Discordance Among Latino Adolescents and Parents",10.5993/ajhb.41.6.11,68751d343a311b28982701c9,"Household Food Security Survey Module (HFSSM)",8,10,""
pub.1092259111,"For Low-Income Americans, Living ≤1 Mile (≤1.6 km) from the Nearest Supermarket Is Not Associated with Self-Reported Household Food Security",10.3945/cdn.117.001446,68751d343a311b28982701cc,"Food Acquisition and Purchase Survey (FoodAPS)",10,10,""
