publication_id,publication_title,publication_doi,new_name,new_confidence_score_mention,new_confidence_score_use,new_description,new_source,new_domain
pub.1005464936,"Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review",10.1016/j.amepre.2015.04.035,"Current Population Survey",9,1,"A monthly survey of U.S. households covering demographic and economic characteristics.","","Demographics/Economics"
pub.1005464936,"Dietary Quality of Americans by Supplemental Nutrition Assistance Program Participation Status A Systematic Review",10.1016/j.amepre.2015.04.035,"Early Childhood Longitudinal Survey",9,1,"A longitudinal study tracking early childhood development and related variables.","","Child Development/Nutrition"
pub.1008908516,"Prevalence of Food Insecurity in Low-Income Neighborhoods in West Texas",10.1016/j.jneb.2016.07.003,"Household Food Security Survey Module (HFSSM)",9,9,"A nationally recognized questionnaire developed by the U.S. Department of Agriculture to measure household food security over a 12‑month period; includes 18 items for households with children and 10 items for those without.","U.S. Department of Agriculture (USDA) researchers","Public health / Nutrition / Food security"
pub.1010851647,"Evaluating the relationship between urban environment and food security in Georgia's older population",10.1016/j.apgeog.2014.10.013,"Food Access Research Atlas",9,9,"A USDA dataset that maps census tracts with limited food access based on distance to supermarkets and income thresholds.","USDA Economic Research Service","Food security / public health geography"
pub.1010851647,"Evaluating the relationship between urban environment and food security in Georgia's older population",10.1016/j.apgeog.2014.10.013,"Household Food Security Survey Module",9,9,"A standardized questionnaire instrument used to classify households into levels of food security (high, marginal, low, very low).","U.S. Department of Agriculture","Food security / nutrition assessment"
pub.1010851647,"Evaluating the relationship between urban environment and food security in Georgia's older population",10.1016/j.apgeog.2014.10.013,"Georgia Aging Information Management System",9,9,"State‑level administrative database containing client records for Georgia’s Division of Aging Services, including demographic, health, and service information.","Georgia Division of Aging Services","Aging services / public health"
pub.1010851647,"Evaluating the relationship between urban environment and food security in Georgia's older population",10.1016/j.apgeog.2014.10.013,"U.S. Census Urbanized Area GIS Data (1990 & 2010)",8,8,"Geospatial layers from the U.S. Census defining urbanized areas for specific census years, used to derive subclassifications (core urban, post‑war suburb, recent suburb, urban cluster).","U.S. Census Bureau / Department of Commerce","Demography / spatial analysis"
pub.1011904105,"Prevalence and covariates of food insecurity among residents of single-room occupancy housing in Chicago, IL, USA",10.1017/s1368980015002384,"Household Food Security Survey Module (HFSSM)",8,2,"A survey instrument used by USDA to assess household food security status nationally.","US Department of Agriculture, Economic Research Service","Public health / nutrition security"
pub.1011904105,"Prevalence and covariates of food insecurity among residents of single-room occupancy housing in Chicago, IL, USA",10.1017/s1368980015002384,"Household Food Insecurity Access Scale (HFIAS)",9,9,"A validated nine‑item questionnaire measuring household (or individual) food insecurity severity over a recall period.","Food and Nutrition Technical Assistance Project (FANTA), USAID","Public health / nutrition security"
pub.1012443447,"Household food insecurity and medication “scrimping” among US adults with diabetes",10.1016/j.ypmed.2015.11.031,"National Health Interview Survey (NHIS)",10,10,"A nationally representative, cross‑sectional survey of the non‑institutionalized US population collecting health, demographic, and socioeconomic information.","National Center for Health Statistics, CDC","Public health / epidemiology"
pub.1012443447,"Household food insecurity and medication “scrimping” among US adults with diabetes",10.1016/j.ypmed.2015.11.031,"California Health Interview Survey (CHIS)",8,2,"A state‑level health survey of California residents collecting health and demographic data.","California Department of Public Health","Public health / epidemiology"
pub.1012443447,"Household food insecurity and medication “scrimping” among US adults with diabetes",10.1016/j.ypmed.2015.11.031,"30‑Day Food Security Scale (USDA)",7,2,"A validated questionnaire instrument measuring household food security over the past 30 days.","US Department of Agriculture, Economic Research Service","Nutrition / food security"
pub.1013543852,"The Relationship Between Food Insecurity and Depression, Diabetes Distress and Medication Adherence Among Low-Income Patients with Poorly-Controlled Diabetes",10.1007/s11606-015-3351-1,"Peer Support for Achieving Independence in Diabetes (Peer-AID) trial dataset",9,9,"Baseline data (demographics, clinical measures, survey responses) collected from participants enrolled in the Peer-AID randomized controlled trial (2011‑2013) in King County, Washington.","Peer-AID randomized controlled trial, funded by NIH/NIDDK (grant 5R18DK088072).","Diabetes self‑management / Public health"
pub.1013543852,"The Relationship Between Food Insecurity and Depression, Diabetes Distress and Medication Adherence Among Low-Income Patients with Poorly-Controlled Diabetes",10.1007/s11606-015-3351-1,"USDA Six‑Item Short Form Food Security Survey Module",9,7,"A standardized questionnaire consisting of six items that assesses household food‑security status; responses were collected from each participant and scored to create a binary food‑security variable.","United States Department of Agriculture (USDA).","Nutrition / Food security assessment"
pub.1014857274,"Exploring Health Implications of Disparities Associated with Food Insecurity Among Low-Income Populations",10.1016/j.cnur.2015.05.003,"National Health and Nutrition Examination Survey (NHANES)",9,2,"A nationally representative survey collecting health and nutrition data from US residents.","Referenced study by Laraia (2010) within the paper's background discussion.","Public health / Nutrition"
pub.1014857274,"Exploring Health Implications of Disparities Associated with Food Insecurity Among Low-Income Populations",10.1016/j.cnur.2015.05.003,"USDA Household Food Security 6‑question Short Form",9,8,"A six‑item questionnaire developed by USDA to assess household food security status.","USDA (United States Department of Agriculture) instrument used in the study's demographic questionnaire.","Nutrition / Food Security"
pub.1014857274,"Exploring Health Implications of Disparities Associated with Food Insecurity Among Low-Income Populations",10.1016/j.cnur.2015.05.003,"American Community Survey (ACS) Selected Population Tables",8,2,"Census‑bureau survey providing annual estimates of demographic characteristics, including selected population tables for specific groups.","U.S. Census Bureau website referenced in the paper.","Demography / Population studies"
pub.1014857274,"Exploring Health Implications of Disparities Associated with Food Insecurity Among Low-Income Populations",10.1016/j.cnur.2015.05.003,"U.S. Census Bureau Poverty Ratio C17002",7,2,"A Census variable representing the ratio of household income to the federal poverty level over a 12‑month period.","U.S. Census Bureau data referenced for background statistics.","Economic / Poverty analysis"
pub.1014857274,"Exploring Health Implications of Disparities Associated with Food Insecurity Among Low-Income Populations",10.1016/j.cnur.2015.05.003,"USDA Economic Research Service (ERS) Definitions of Food Security",6,2,"Official definitions and metrics for food security provided by the USDA Economic Research Service.","USDA website referenced in the paper.","Nutrition / Food Security"
pub.1015872278,"Food insecurity and diabetes self-management among food pantry clients",10.1017/s1368980016001786,"Household Food Security Survey Module (HFSSM)",9,9,"A validated USDA questionnaire that assesses household-level food insecurity using a six‑item short form.","US Department of Agriculture","Nutrition / Food Security"
pub.1015872278,"Food insecurity and diabetes self-management among food pantry clients",10.1017/s1368980016001786,"National Health and Nutrition Examination Survey (NHANES)",8,2,"A nationally representative survey that collects health, nutrition, and demographic data in the United States.","U.S. Centers for Disease Control and Prevention (CDC)","Public Health / Nutrition"
pub.1015872278,"Food insecurity and diabetes self-management among food pantry clients",10.1017/s1368980016001786,"Food Pantry Diabetes Self-Management Survey",7,9,"A custom dataset comprising survey responses on demographics, health measures (HbA1c), and diabetes self‑management indicators collected from 1,237 adult diabetes patients attending food pantries.","Study investigators (food pantry sites in CA, OH, TX)","Public Health / Diabetes Management"
pub.1015925111,"Is Food Insecurity Associated with Depressive Symptoms in South Korea?",10.1111/aswp.12111,"National Health and Nutrition Examination Survey (NHANES)",8,2,"A program of studies designed to assess health and nutritional status of adults and children in the United States.","","Public health / Nutrition"
pub.1015925111,"Is Food Insecurity Associated with Depressive Symptoms in South Korea?",10.1111/aswp.12111,"Korea Welfare Panel Study (KOWEPS)",9,9,"A nationally representative longitudinal panel survey of Korean households collecting information on income, employment, health, social welfare program participation, and food security among other variables.","Korea Institute for Health and Social Affairs & Seoul National University","Social science / Public health / Economics"
pub.1015925111,"Is Food Insecurity Associated with Depressive Symptoms in South Korea?",10.1111/aswp.12111,"Current Population Survey (CPS)",8,2,"A monthly survey conducted by the U.S. Census Bureau collecting labor market information and other demographic data.","","Survey statistics / Labor economics"
pub.1015925111,"Is Food Insecurity Associated with Depressive Symptoms in South Korea?",10.1111/aswp.12111,"USDA Food Security Scale (Core Food Security Module)",9,3,"A standardized questionnaire consisting of items assessing household food access and experiences of hardship.","United States Department of Agriculture (USDA)","Nutrition / Food security"
pub.1016207666,"Association of Household Food Insecurity with the Mental and Physical Health of Low‐Income Urban Ecuadorian Women with Children",10.1155/2016/5256084,"Household Food Security Survey Module (HFSSM)",9,9,"An experience‑based questionnaire consisting of 18 items that assesses household food security over the prior 12 months. Used to classify households as food secure, low food security or very low food security.","U.S. Department of Agriculture (original HFSSM); adapted for Quito, Ecuador.","Food security / public health"
pub.1016207666,"Association of Household Food Insecurity with the Mental and Physical Health of Low‐Income Urban Ecuadorian Women with Children",10.1155/2016/5256084,"National Health and Nutrition Examination Survey (NHANES)",8,2,"A nationally representative survey of health, nutrition, and clinical measurements conducted in the United States.","U.S. Centers for Disease Control and Prevention (CDC).","Health / nutrition epidemiology"
pub.1016207666,"Association of Household Food Insecurity with the Mental and Physical Health of Low‐Income Urban Ecuadorian Women with Children",10.1155/2016/5256084,"Ecuadorian National Health and Nutrition Survey (ENSA/Encuesta Nacional de Salud y Nutrición)",7,2,"A periodic, nationally representative survey conducted by the Instituto Nacional de Estadísticas y Censos (INEC) in Ecuador to assess health and nutrition status of the population.","Instituto Nacional de Estadísticas y Censos (INEC), Ecuador.","Public health / nutrition epidemiology"
pub.1016667374,"Food insecurity and peripheral arterial disease in older adult populations",10.1007/s12603-015-0639-0,"National Health and Nutrition Examination Survey (NHANES)",10,10,"A nationally representative cross‑sectional survey of U.S. non‑institutionalized civilians that includes household interviews, physical examinations, and laboratory tests.","National Center for Health Statistics (NCHS)","Public health / epidemiology"
pub.1016667374,"Food insecurity and peripheral arterial disease in older adult populations",10.1007/s12603-015-0639-0,"US Household Food Security Survey Module (HFSSM)",10,10,"An 18‑item validated questionnaire developed by the U.S. Department of Agriculture to assess household food security over the prior 12‑month period.","U.S. Department of Agriculture (USDA)","Nutrition / public health"
pub.1016886086,"Beyond Income Poverty: Measuring Disadvantage in Terms of Material Hardship and Health",10.1016/j.acap.2016.01.015,"National Health Interview Survey (NHIS)",8,2,"Annual US household survey collecting health information.","U.S. Centers for Disease Control and Prevention (CDC).","Health epidemiology"
pub.1016886086,"Beyond Income Poverty: Measuring Disadvantage in Terms of Material Hardship and Health",10.1016/j.acap.2016.01.015,"New York City Longitudinal Study of Wellbeing (Poverty Tracker)",10,9,"A multi‑wave (baseline and 12‑month follow‑up) survey of NYC adults collecting income poverty (based on Supplemental Poverty Measure), material hardship, and adult health problems.","Columbia University researchers in partnership with the Robin Hood Foundation; data collected via random digit dialing and agency sampling.","Public health / socioeconomic research"
pub.1016886086,"Beyond Income Poverty: Measuring Disadvantage in Terms of Material Hardship and Health",10.1016/j.acap.2016.01.015,"American Community Survey",9,8,"Annual US Census Bureau survey providing demographic and socioeconomic estimates at fine geographic levels.","U.S. Census Bureau.","Demography / public statistics"
pub.1016886086,"Beyond Income Poverty: Measuring Disadvantage in Terms of Material Hardship and Health",10.1016/j.acap.2016.01.015,"Survey of Income and Program Participation (SIPP)",9,2,"A longitudinal US panel survey that tracks income, program participation, and related variables.","U.S. Census Bureau.","Economic research / social policy"
pub.1016886086,"Beyond Income Poverty: Measuring Disadvantage in Terms of Material Hardship and Health",10.1016/j.acap.2016.01.015,"Fragile Families and Child Wellbeing Survey",9,2,"A longitudinal study of families with children born in large US cities, focusing on child wellbeing.","University of Michigan & other collaborators.","Child development / social science"
pub.1017133558,"Evaluating a Nutrition Education Program in an Era of Food Insecurity",10.1080/19320248.2016.1227748,"National Health and Nutrition Examination Survey (NHANES)",9,2,"A nationally representative survey collecting health, nutrition, and demographic data in the United States.","Referenced study from 1999‑2002 NHANES cycles.","Public health / Nutrition"
pub.1017133558,"Evaluating a Nutrition Education Program in an Era of Food Insecurity",10.1080/19320248.2016.1227748,"Behavioral Risk Factor Surveillance System (BRFSS)",9,2,"A CDC telephone survey collecting data on health-related risk behaviors, chronic disease prevalence, and preventive health practices in U.S. adults.","CDC BRFSS data (year unspecified).","Public health / Epidemiology"
pub.1017133558,"Evaluating a Nutrition Education Program in an Era of Food Insecurity",10.1080/19320248.2016.1227748,"Current Population Survey Annual Social and Economic Supplements (CPS)",9,2,"Annual survey by the U.S. Census Bureau providing detailed demographic, employment, and income information.","U.S. Census Bureau CPS (2005‑2006).","Demography / Economics"
pub.1017133558,"Evaluating a Nutrition Education Program in an Era of Food Insecurity",10.1080/19320248.2016.1227748,"American Community Survey (ACS)",9,2,"An ongoing survey providing detailed demographic, social, economic, and housing data at national, state, and local levels.","U.S. Census Bureau ACS (2005).","Demography / Sociology"
pub.1017133558,"Evaluating a Nutrition Education Program in an Era of Food Insecurity",10.1080/19320248.2016.1227748,"Medicaid Enrollment Data (State‑level Medicaid Recipients)",9,8,"State‑level counts of individuals enrolled in Medicaid, used as a proxy for low‑income, food‑insecure populations eligible for EFNEP.","U.S. Department of Health and Human Services (Medicaid enrollment statistics).","Health policy / Public health"
pub.1017133558,"Evaluating a Nutrition Education Program in an Era of Food Insecurity",10.1080/19320248.2016.1227748,"Kaiser State Health Facts",9,8,"A database providing state‑level health statistics such as disease prevalence, health expenditures, and demographic health indicators.","Kaiser Family Foundation's State Health Facts portal.","Public health / Epidemiology"
pub.1017590820,"Influence of Race, Ethnicity and Social Determinants of Health on Diabetes Outcomes",10.1016/j.amjms.2016.01.008,"National Health and Nutrition Examination Survey (NHANES)",9,1,"A nationally representative survey collecting health, nutrition, and demographic data of U.S. residents.","U.S. Department of Health and Human Services","Public health / epidemiology"
pub.1018264446,"Childhood Adversity and Adult Reports of Food Insecurity Among Households With Children",10.1016/j.amepre.2015.09.024,"Household Food Security Survey Module (HFSSM)",9,9,"A USDA-developed questionnaire consisting of 18 items used to measure household-level food security, classifying households into food secure, low food security (LFS), and very low food security (VLFS). It also includes a child‑specific module for assessing child food insecurity.","U.S. Department of Agriculture, Economic Research Service","Nutrition / Food Security"
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"Food Access Research Atlas (FARA)",6,1,"A USDA‑based national dataset mapping food access and identifying food deserts across the United States.","U.S. Department of Agriculture (Economic Research Service)","Food security / Geographic analysis"
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"American FactFinder (U.S. Census Bureau)",9,9,"A public database providing census‑derived demographic and socioeconomic data at the block group level.","U.S. Census Bureau","Demographics / Socioeconomic statistics"
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"TIGER/Line Shapefile (Census Block Group Boundaries)",9,9,"Geospatial polygon file defining the geographic boundaries of U.S. Census block groups.","U.S. Census Bureau (TIGER/Line)","Geography / GIS"
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"Virginia Department of Education – Student Eligibility for National School Lunch Program (Spreadsheet)",9,9,"Dataset containing percentages of students qualifying for free or reduced‑price meals at each elementary, middle, and high school in Virginia.","Virginia Department of Education","Education / Food security proxy"
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"Virginia Department of Conservation and Recreation – Parks Shapefile",9,9,"Geospatial data representing locations and extents of public parks within Virginia.","Virginia Department of Conservation and Recreation","Environmental / Green space"
pub.1018922544,"Strategically Siting Urban Agriculture: A Socioeconomic Analysis of Roanoke, Virginia",10.1080/00330124.2016.1157496,"City of Roanoke GIS FTP – School Zone Shapefile",9,9,"Geospatial polygon file delineating the boundaries of individual school zones within Roanoke.","City of Roanoke GIS department","Education / GIS"
pub.1019383409,"Soft drinks consumption and child behaviour problems: the role of food insecurity and sleep patterns",10.1017/s1368980016002093,"Fragile Families and Child Wellbeing Study (FFCWS)",9.5,9.5,"A longitudinal cohort study that follows families with children born between 1998‑2000 in large U.S. cities, collecting extensive socioeconomic, health, and behavioral data.","Publicly available dataset; referenced as ""Fragile Families"" data set is publicly available, institutional review board approval was not needed.","Social science / public health / child development"
pub.1019383409,"Soft drinks consumption and child behaviour problems: the role of food insecurity and sleep patterns",10.1017/s1368980016002093,"National Health and Nutrition Examination Survey (NHANES)",9,2,"A nationally representative survey of U.S. residents that collects health, nutrition, and demographic data.","U.S. Centers for Disease Control and Prevention (CDC).","Public health / epidemiology"
pub.1019444337,"Food Insecurity and Rural Adolescent Personal Health, Home, and Academic Environments",10.1111/josh.12397,"National Health and Nutrition Examination Survey (NHANES)",9,1.5,"A nationally representative cross‑sectional survey conducted by the U.S. CDC that collects health, nutrition, and demographic information.","U.S. Centers for Disease Control and Prevention (CDC)","Public health / Nutrition"
pub.1019444337,"Food Insecurity and Rural Adolescent Personal Health, Home, and Academic Environments",10.1111/josh.12397,"Project BreakFAST",9.5,9,"A randomized controlled trial designed to increase school breakfast participation among rural high‑school students; includes survey responses, anthropometric measurements, dietary recalls, and school administrative records.","University of Minnesota (Project BreakFAST study)","Education / Nutrition / Public health"
pub.1019444337,"Food Insecurity and Rural Adolescent Personal Health, Home, and Academic Environments",10.1111/josh.12397,"Child Food Security Survey Module",8.5,8,"A validated 9‑item questionnaire designed to assess food security status among children and adolescents; provides categorical scores that can be used as variables in statistical analyses.","","Nutrition / Public health"
pub.1020034785,"Associations Among Chronic Disease Status, Participation in Federal Nutrition Programs, Food Insecurity, and Sugar-Sweetened Beverage and Water Intake Among Residents of a Health-Disparate Region",10.1016/j.jneb.2015.01.001,"Current Population Survey Food Security Supplement",9,1,"A supplement to the Current Population Survey that includes questions on household food security and use of nutrition assistance programs.","","Food security / public health surveys"
pub.1020034785,"Associations Among Chronic Disease Status, Participation in Federal Nutrition Programs, Food Insecurity, and Sugar-Sweetened Beverage and Water Intake Among Residents of a Health-Disparate Region",10.1016/j.jneb.2015.01.001,"Household Food Security Survey Module",9,1,"A standardized questionnaire (short form) for measuring household food security status.","","Food security / public health surveys"
pub.1020034785,"Associations Among Chronic Disease Status, Participation in Federal Nutrition Programs, Food Insecurity, and Sugar-Sweetened Beverage and Water Intake Among Residents of a Health-Disparate Region",10.1016/j.jneb.2015.01.001,"National Health and Nutrition Examination Survey",8,1,"A nationally representative survey that collects health and nutrition data on the US population.","","Nutrition / epidemiology"
pub.1020034785,"Associations Among Chronic Disease Status, Participation in Federal Nutrition Programs, Food Insecurity, and Sugar-Sweetened Beverage and Water Intake Among Residents of a Health-Disparate Region",10.1016/j.jneb.2015.01.001,"Behavioral Risk Factor Surveillance System",9,1,"A CDC‑run telephone survey collecting data on health-related risk factors across US states.","","Public health / epidemiology"
pub.1020498179,"Healthy Options: A Community-Based Program to Address Food Insecurity",10.1080/10852352.2015.973248,"American Community Survey 2011 1-year estimates (Poverty status)",9,9,"Nationwide survey providing annual estimates of poverty status and other demographic variables at the county level.","U.S. Census Bureau","Demography / Public Health"
pub.1020498179,"Healthy Options: A Community-Based Program to Address Food Insecurity",10.1080/10852352.2015.973248,"Veggie Project survey instrument",7,2,"Survey questionnaire used in the Veggie Project study, covering fruit and vegetable consumption and market experiences.","Freedman, Bell, & Collins, 2011","Nutrition / Public Health"
pub.1021412824,"Latino Mothers' Cumulative Food Insecurity Exposure and Child Body Composition",10.5993/ajhb.40.1.10,"National Health and Nutrition Examination Survey",9,2,"A nationally representative survey conducted by the CDC that collects health and nutrition data on a sample of the U.S. population.","U.S. Centers for Disease Control and Prevention (CDC)","Public Health / Nutrition"
