publication_id,publication_title,publication_doi,join_dataset1,join_dataset2,join_join_type,join_confidence_score,join_methodology,join_join_keys,join_context
pub.1027570121,"Increased Food Insecurity Among Mothers of 2 Year Olds with Special Health Care Needs",10.1007/s10995-015-1735-9,"Oregon Birth Certificate Records","Oregon Pregnancy Risk Assessment Monitoring System (PRAMS) Survey","integration",9,"The researchers first extracted the Oregon birth certificate records for all live births in 2004‑2005. A stratified random sample was drawn from these records, oversampling specific racial/ethnic groups. Each sampled mother was assigned a unique identifier (the PRAMS index) that linked the birth cer","[""mother_id"",""birth_date"",""prams_index""]","Birth certificate data were linked to PRAMS responses to create the primary analytical dataset for Time 1."
pub.1027570121,"Increased Food Insecurity Among Mothers of 2 Year Olds with Special Health Care Needs",10.1007/s10995-015-1735-9,"Oregon Pregnancy Risk Assessment Monitoring System (PRAMS) Survey","PRAMS‑2 Follow‑Back Survey","fusion",9,"The researchers linked the Oregon Pregnancy Risk Assessment Monitoring System (PRAMS) baseline survey (Time 1) with the PRAMS‑2 follow‑back survey (Time 2) by matching each mother’s unique identifier across the three data sources: birth certificate record, PRAMS questionnaire, and PRAMS‑2 questionna","[""mother_id"",""birth_certificate_number"",""child_birth_date""]","The PRAMS baseline survey (Time 1) was merged with the follow‑back PRAMS‑2 survey (Time 2) for each mother to assess changes in food security and CSHCN status."
pub.1027570121,"Increased Food Insecurity Among Mothers of 2 Year Olds with Special Health Care Needs",10.1007/s10995-015-1735-9,"PRAMS‑2 Survey Data","Oregon CSHCN Dataset (2005‑2006)","combination",7,"The researchers combined the Oregon Pregnancy Risk Assessment Monitoring System (PRAMS) survey, its follow‑up PRAMS‑2 questionnaire, and birth certificate records by linking each mother’s records across the two time points. A deterministic key‑based join was performed using the unique maternal ident","[""maternal_id"",""birth_certificate_number"",""infant_birth_date""]","The PRAMS‑2 questionnaire used a 10‑item CSHCN screener modeled after the national CSHCN Screener, effectively combining PRAMS‑2 responses with the broader Oregon CSHCN dataset for classification of children with special health care needs."
pub.1027657425,"Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study",10.1002/soej.12081,"Three City Study (TCS)","April 1999 Current Population Survey Food Security Supplement (CPS‑FSS)","integration",8.7,"The authors combined the two subsamples of the April 1999 CPS‑FSS (the standard split‑ballot sample and the experimental split‑ballot sample) with the food‑hardship items from the Three City Study (TCS). They first identified overlapping questionnaire items by matching item wording and content, noti","[""item_text"",""question_identifier""]","The authors pool the two subsamples of the April 1999 CPS‑FSS (standard and experimental split‑ballot) with the TCS items to estimate Rasch calibration parameters for a combined set of food‑security questions, enabling comparable thresholds between the TCS and the CPS‑FSS."
pub.1028305293,"Theoretical issues in the ‘food desert’ debate and ways forward",10.1007/s10708-015-9634-6,"NASS Census of Agriculture","Agricultural Resource Management Survey (ARMS)","integration",7.2,"The authors performed a GIS‑based integration of the NASS Census of Agriculture and the Agricultural Resource Management Survey (ARMS) by first extracting geographic identifiers (e.g., county, census tract, ZIP code, latitude/longitude) from both datasets. They cleaned and standardized these spatial","[""census_tract_id"",""county_fips"",""zip_code"",""latitude_longitude""]","The authors used GIS‑based approaches that combined geographic food environment data with socioeconomic variables derived from the NASS Census and ARMS to define potential food deserts."
pub.1028305293,"Theoretical issues in the ‘food desert’ debate and ways forward",10.1007/s10708-015-9634-6,"Local Food Marketing Practices Survey","United States Department of Agriculture (USDA) Economic Research Service Food Access Research Atlas","fusion",6.8,"The researchers performed a fusion of the USDA Food Access Research Atlas GIS layers with survey‑derived food basket data from the Local Food Marketing Practices Survey. First, census tract identifiers and ZIP codes were extracted from both datasets. The atlas polygons were geocoded to match tract I","[""census_tract_id"",""zip_code"",""latitude_longitude""]","A two‑part evaluation combined GIS (using the USDA Food Access Research Atlas) with food basket methods derived from the Local Food Marketing Practices Survey to quantify geographic and economic impacts of a new grocery store in Flint."
pub.1029069128,"Investigation of the Food Choice, Promoters and Barriers to Food Access Issues, and Food Insecurity Among Low-Income, Free-Living Minnesotan Seniors",10.1016/j.jneb.2016.02.010,"Qualitative focus‑group transcripts","US Household Food Security Survey Module (6‑Item Short Form) scores","combination",6.5,"The researchers first extracted the qualitative focus‑group transcripts and the quantitative USDA 6‑item food security scores for each participant. Each participant was assigned a unique study ID during recruitment, which served as the primary key linking both datasets. The transcript files were loa","[""study_id""]","The researchers collected qualitative data from focus‑group discussions and also administered the USDA 6‑item food security questionnaire to each participant, then linked individual transcript information with their quantitative food‑security score for analysis."
pub.1029069128,"Investigation of the Food Choice, Promoters and Barriers to Food Access Issues, and Food Insecurity Among Low-Income, Free-Living Minnesotan Seniors",10.1016/j.jneb.2016.02.010,"County‑level SNAP participation rates (USDA/NE 1439 Multistate Project data)","Participant‑level focus‑group data (demographics, SNAP usage, food‑security status)","integration",6,"","","The study compares two counties with differing SNAP participation rates (59 % vs 72 %) and examines how these county‑level statistics relate to individual seniors’ reported SNAP use, food insecurity, and qualitative experiences."
pub.1029873148,"Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?",10.4236/jss.2015.35012,"Food Desert dataset (USDA Economic Research Service Food Environment Atlas)","Age and sex statistics by census tract (US Census Bureau)","merge",9,"The authors merged the USDA Food Environment Atlas food desert data, Census tract demographic statistics, and the Texas farmers market list by aligning records on the common geographic identifier – the census tract ID (FIPS code). Each dataset was first extracted, cleaned to remove missing or incons","[""census_tract_fips"",""tract_id""]","The authors state that three datasets were linked: food deserts, age and sex statistics by census tract, and the list of farmers markets in Texas."
pub.1029873148,"Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?",10.4236/jss.2015.35012,"List of Farmers Markets in Texas (USDA Economic Research Service / USDA-NASS Farmers Markets Directory)","Age and sex statistics by census tract (US Census Bureau)","merge",9,"The study merged the USDA‑NASS Farmers Markets Directory with Census tract demographic data by performing a spatial join. First, the farmers market locations were geocoded to obtain latitude and longitude coordinates. Census tracts were represented using their polygon shapefiles and centroids were c","[""census_tract_id"",""market_location_coordinates""]","The same three‑dataset linkage includes the farmers market list, which is combined with demographic data for each census tract."
pub.1029873148,"Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?",10.4236/jss.2015.35012,"List of Farmers Markets in Texas (USDA Economic Research Service / USDA-NASS Farmers Markets Directory)","Food Desert dataset (USDA Economic Research Service Food Environment Atlas)","merge",9,"The researchers first extracted the USDA farmers market directory and the Food Environment Atlas food desert layer. Both datasets were geocoded to latitude‑longitude coordinates. Census tract shapefiles provided a unique GEOID for each tract which served as the primary join key. The farmers market p","[""GEOID"",""tract_centroid_id""]","The three‑dataset linkage also combines the farmers market locations with food desert classifications for each census tract."
pub.1029873148,"Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?",10.4236/jss.2015.35012,"Distance to nearest farmers market (computed from farmers market locations)","Demographics dataset (age, sex, race, income, etc.)","fusion",8.5,"The researchers first computed the Euclidean distance from the geographic centroid of each Texas census tract to the nearest farmer market using GIS spatial analysis (likely via ArcGIS or similar tools). Each tract was identified by its unique Census Tract ID. The resulting distance values were stor","[""census_tract_id""]","The distance between a census tract’s center and the nearest farmer market was calculated for each of the 5258 tracts and merged to the demographics dataset."
pub.1029873148,"Back to Basics: Is Civic Agriculture the Solution to Food Deserts in Texas?",10.4236/jss.2015.35012,"Cropland Data Layer (USDA-NASS)","Demographic and food desert datasets","integration",6.5,"The study linked three primary datasets – USDA‑NASS Cropland Data Layer, the USDA Economic Research Service Food Environment Atlas (food desert indicators), and US Census Bureau demographic data – by matching each record to a common geographic unit: the census tract identifier. After extracting the ","[""census_tract_id"",""tract_fips_code""]","Cropland data was extracted in order to study the main crops of Texas and appears alongside demographic analyses in the results section."
pub.1032417256,"Agroecosystem health, agroecosystem resilience, and food security",10.1007/s13412-015-0322-0,"SSURGO soil type data","County auditor records (CAUV calculation)","integration",7.5,"The integration was performed by spatially aligning the SSURGO soil type raster with the county auditor CAUV values at a common grid resolution (30 m cells). Each cell’s Soil Survey Unit code served as the primary identifier to retrieve the corresponding CAUV factor, which was then multiplied by the","[""soil_survey_unit_code"",""grid_cell_id"",""spatial_coordinates""]","The Ohio Current Agricultural Use Value (CAUV) is a monetary value based on soil type; the SSURGO soil type dataset was used to compute CAUV values, which were then incorporated into the agroecosystem health index."
pub.1032417256,"Agroecosystem health, agroecosystem resilience, and food security",10.1007/s13412-015-0322-0,"US Census (social organization variables)","County auditor records (land economics / CAUV values)","fusion",7,"The integration was performed by fusing publicly available spatial datasets at the finest geographic resolution common to both sources. Census variables were extracted at the census tract or block level and linked to county auditor land value records using shared geographic identifiers such as count","[""county_fips"",""parcel_id"",""census_tract_id""]","Social organization was calculated from four US Census variables and combined with land value estimates derived from county auditor records to produce the “social organization” component of the agroecosystem health index."
pub.1032417256,"Agroecosystem health, agroecosystem resilience, and food security",10.1007/s13412-015-0322-0,"Remote sensing imagery (30‑m pixel data)","Digital elevation model (topography)","merge",6.5,"The digital elevation model (DEM) raster was aligned to the remote sensing imagery by matching their geographic coordinate grids at a 30‑meter pixel resolution. Each DEM cell was merged with the corresponding remote sensing pixel using a spatial overlay operation, producing a combined dataset where ","[""spatial_coordinate_grid""]","Topography is one of the six key variables; it was derived from a digital elevation model and merged with remote sensing-derived pixel‑scale data to create normalized values for each pixel in the agroecosystem health index."
pub.1032417256,"Agroecosystem health, agroecosystem resilience, and food security",10.1007/s13412-015-0322-0,"NASS Census of Agriculture (crop production data)","Local Food Marketing Practices Survey (market and supply chain information)","integration",6.2,"The integration was performed by linking the NASS Census of Agriculture production statistics to the Local Food Marketing Practices Survey records using common geographic identifiers (e.g., county FIPS codes and census tract IDs). An ETL pipeline extracted raw data from public databases and survey f","[""county_fips"",""census_tract_id"",""survey_location_id""]","While not explicitly described in the excerpt, the overall research aims to map agroecosystem health across landscapes and assess local food supply chains; this likely involves linking NASS agricultural production statistics with survey data on local marketing practices to evaluate economic and soci"
pub.1032417256,"Agroecosystem health, agroecosystem resilience, and food security",10.1007/s13412-015-0322-0,"Questionnaire administered to landowners (social organization survey)","Public datasets (US Census variables, SSURGO, county auditor records)","combination",6,"The agroecosystem health index was built by first aligning all data sources to a common spatial raster at 30 m resolution. Landowner questionnaire responses were geocoded to parcel centroids and merged with publicly available layers (US Census block‑level variables, SSURGO soil maps, county auditor ","[""parcel_id"",""GIS_coordinate_x"",""GIS_coordinate_y"",""census_block_id""]","Initially the index required a detailed landowner questionnaire for social organization; later a version was created using only publicly available data (Census, soil surveys, auditor records), indicating that the two sources were combined to replace the survey."
pub.1034798033,"Food Insecurity and Food Resource Utilization in an Urban Immigrant Community",10.1007/s10903-015-0331-9,"City Heights Core Area Survey (household-level questionnaire)","2010 United States Census tract data","integration",9,"The authors linked each household survey respondent to the corresponding 2010 Census tract by using the residential address information collected during the door‑to‑door interviews. Addresses were geocoded to obtain the official census‑tract identifier (GEOID) for each location. This GEOID served as","[""address"",""census_tract_GEOID""]","The authors used census‑tract demographic statistics (e.g., proportion of foreign‑born residents, poverty rates) to describe the study area and to contextualize survey findings. Survey respondents were linked to their respective census tracts for comparative analysis."
pub.1034798033,"Food Insecurity and Food Resource Utilization in an Urban Immigrant Community",10.1007/s10903-015-0331-9,"City Heights Core Area Survey","USDA national food insecurity statistics (e.g., 2013 USDA report of 14.3 % food‑insecure families)","fusion",8.5,"The integration was performed as a data fusion operation rather than a relational join. The national USDA food‑insecurity prevalence (14.3 % for 2013) was extracted from the USDA report and treated as an external benchmark. The City Heights Core Area Survey provided local prevalence estimates (20.1 ","[null]","National USDA figures are cited alongside the local survey results to compare city‑level prevalence with national benchmarks, allowing a combined interpretation of local versus country‑wide food insecurity rates."
pub.1034798033,"Food Insecurity and Food Resource Utilization in an Urban Immigrant Community",10.1007/s10903-015-0331-9,"City Heights Core Area Survey","US Household Food Security Survey Module (HFSSM) instrument","combination",7,"The researchers combined the USDA Household Food Security Survey Module (HFSSM) with their own City Heights Core Area Survey by extracting the standardized HFSSM questionnaire items, transforming them to match the format and language of the local survey (including translation into English, Spanish, ","[""null""]","The survey employed the USDA HFSSM questionnaire to assess household food insecurity, integrating this standardized measurement tool into their custom data collection."
pub.1036277410,"The relationship between childhood adversity and food insecurity: ‘It’s like a bird nesting in your head’",10.1017/s1368980014003036,"Children HealthWatch‑Philadelphia study","Childhood Stress survey data","integration",7.8,"Participants were first identified in the Children HealthWatch‑Philadelphia emergency department surveillance database using a unique participant identifier assigned at enrollment. Those identifiers were extracted and matched to the corresponding records in the Childhood Stress survey dataset, which","[""participant_id"",""survey_id"",""enrollment_date""]","Participants were recruited from the Children HealthWatch‑Philadelphia emergency department surveillance study and then surveyed in the Childhood Stress interview; the researchers compared food‑security measures from the original HealthWatch interview with the new ACE and HFSSM data collected in the"
pub.1039813511,"Food Insecurity and the Burden of Health-Related Social Problems in an Urban Youth Population",10.1016/j.jadohealth.2015.08.013,"USDA Food Security Survey Module (multiple versions: 18‑item Household, 10‑item Adult, 9‑item Youth)","Two‑item food insecurity screen (Hager et al.)","fusion",7.5,"The researchers administered all three versions of the USDA Food Security Survey Module (18‑item Household, 10‑item Adult, 9‑item Youth) to each participant and extracted the two items used in the Hager et al. two‑item screen from those questionnaires. The extraction was performed after data cleanin","[""participant_id""]","Both the full USDA‑FSS and the abbreviated two‑item screen were administered to each participant; the two‑item responses were extracted from the USDA questionnaires and used together for comparative analysis (sensitivity, specificity, PPV/NPV)."
pub.1039813511,"Food Insecurity and the Burden of Health-Related Social Problems in an Urban Youth Population",10.1016/j.jadohealth.2015.08.013,"Online Advocate web‑based questionnaire (all 130 items covering food insecurity and six other social domains)","Demographic data collected from clinic records (age, gender, race/ethnicity, insurance type, education, employment)","merge",7,"The researchers combined the demographic variables (age, gender, race/ethnicity, insurance type, education, employment) extracted from clinic electronic health records with the responses from the Online Advocate web‑based questionnaire. A unique patient identifier present in both data sources served","[""patient_id""]","Participant demographic information was combined with responses from the Online Advocate questionnaire to create a comprehensive dataset used for descriptive statistics and regression analyses."
pub.1039813511,"Food Insecurity and the Burden of Health-Related Social Problems in an Urban Youth Population",10.1016/j.jadohealth.2015.08.013,"USDA Food Security Survey Module (full questionnaire)","Validated social‑problem questionnaires from national surveys (Youth Risk Behavior Survey, Growing Up Today Study, Adolescent Longitudinal Study of Health)","integration",6.8,"The study combined questionnaire data from the USDA Food Security Survey Module and validated social‑problem items drawn from national surveys (Youth Risk Behavior Survey, Growing Up Today Study, Adolescent Longitudinal Study of Health) into a single participant record using an electronic web‑based ","[""participant_id"",""survey_timestamp""]","The Online Advocate system incorporated questions drawn from several national surveys to assess health‑related social domains (e.g., CRAFFT from Youth Risk Behavior Survey, housing items from American Housing Survey). These disparate questionnaire data were merged into a single participant record fo"
pub.1039844976,"Household Food Insecurity Is a Stronger Marker of Adequacy of Nutrient Intakes among Canadian Compared to American Youth and Adults 1–",10.3945/jn.114.208579,"Canadian Community Health Survey (CCHS) 2004 cycle 2.2","National Health and Nutrition Examination Survey (NHANES) 2003‑2006 cycles","integration",9.2,"The two surveys were processed independently to generate nutrient intake estimates (conversion using country‑specific food composition tables, handling of 24‑hour recalls, estimation of usual intake via the National Cancer Institute method). After obtaining prevalence estimates of inadequate intakes","[]","The authors combined data from the CCHS and NHANES to conduct a cross‑country comparison of nutrient inadequacy by household food‑security status. Both surveys were processed separately (e.g., nutrient conversion, 24‑hour recall handling) and then merged into a single analytical framework for standa"
pub.1039844976,"Household Food Insecurity Is a Stronger Marker of Adequacy of Nutrient Intakes among Canadian Compared to American Youth and Adults 1–",10.3945/jn.114.208579,"NHANES dietary intake data (24‑hour recalls)","NHANES household food‑security module (HFSSM) plus SNAP/WIC program authorization variables","fusion",8.7,"The authors merged the NHANES dietary intake records (24‑hour recalls) with the household food‑security module and SNAP/WIC authorization variables using the unique respondent identifier (SEQN). The merge was performed as an inner join on SEQN, ensuring that each individual’s dietary data were linke","[""SEQN""]","Within the NHANES analysis, the authors added a variable indicating whether respondents’ households were authorized for SNAP or WIC and used this to generate counterfactual prevalence estimates assuming no participation in these programs."
pub.1039844976,"Household Food Insecurity Is a Stronger Marker of Adequacy of Nutrient Intakes among Canadian Compared to American Youth and Adults 1–",10.3945/jn.114.208579,"CCHS 24‑hour recall dataset","Canadian Nutrient File (food composition database)","merge",7.5,"The intake data from the Canadian Community Health Survey (CCHS) 24‑hour recall were linked to the Canadian Nutrient File (CNF) by matching each reported food item to its corresponding nutrient profile in the CNF. This was performed as a key‑based merge where the food identifier (food code or name) ","[""food_code"",""food_name"",""description""]","The CCHS intake data were converted to nutrient estimates using the Canadian Nutrient File, which required linking each reported food item in the recall to its nutrient profile."
pub.1039844976,"Household Food Insecurity Is a Stronger Marker of Adequacy of Nutrient Intakes among Canadian Compared to American Youth and Adults 1–",10.3945/jn.114.208579,"NHANES 24‑hour recall dataset","Food and Nutrient Database for Dietary Surveys (FNDDS)","merge",7.5,"The NHANES 24‑hour recall records were merged with the Food and Nutrient Database for Dietary Surveys (FNDDS) by matching each reported food item to its corresponding FNDDS food code. The process involved extracting the food identifier from the NHANES dietary data, cleaning and standardizing the cod","[""food_code"",""record_id""]","NHANES dietary recalls were linked to the FNDDS to obtain nutrient values for each reported food item."
